Nortech Systems PE Ratio Historical Data,Nortech Systems PE Ratio Historical Data,Nortech Systems PE Ratio Historical Data,Nortech Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.9,,6.39
2024-09-30,11.71,$1.55,7.55
2024-06-30,13.65,$2.24,6.09
2024-03-31,13.35,$2.41,5.54
2023-12-31,9.42,$2.38,3.96
2023-09-30,9.25,$0.73,12.67
2023-06-30,9.7,$0.84,11.55
2023-03-31,10.65,$0.87,12.24
2022-12-31,12.25,$0.69,17.75
2022-09-30,10.54,$2.59,4.07
2022-06-30,14.0,$3.30,4.24
2022-03-31,10.48,$3.11,3.37
2021-12-31,10.35,$2.48,4.17
2021-09-30,11.5,$-0.61,0.0
2021-06-30,7.99,$-1.12,0.0
2021-03-31,6.28,$-1.23,0.0
2020-12-31,7.17,$-0.60,0.0
2020-09-30,4.69,$0.83,5.65
2020-06-30,4.29,$0.26,16.5
2020-03-31,3.42,$-0.27,0.0
2019-12-31,4.87,$-0.46,0.0
2019-09-30,3.03,$-0.63,0.0
2019-06-30,4.02,$-0.65,0.0
2019-03-31,4.73,$0.07,67.54
2018-12-31,3.55,$0.07,50.71
2018-09-30,4.1,$-0.76,0.0
2018-06-30,3.42,$-0.88,0.0
2018-03-31,3.01,$-1.03,0.0
2017-12-31,3.86,$-0.90,0.0
2017-09-30,3.37,$0.04,84.25
2017-06-30,3.58,$0.04,89.5
2017-03-31,3.65,$-0.02,0.0
2016-12-31,3.89,$0.01,0.0
2016-09-30,3.75,$0.01,0.0
2016-06-30,3.73,$-0.06,0.0
2016-03-31,3.85,$-0.13,0.0
2015-12-31,3.88,$-0.22,0.0
2015-09-30,4.25,$-0.18,0.0
2015-06-30,4.35,$-0.01,0.0
2015-03-31,4.93,$0.22,22.41
2014-12-31,5.68,$0.32,17.76
2014-09-30,5.07,$0.33,15.36
2014-06-30,4.66,$0.29,16.07
2014-03-31,5.03,$0.27,18.63
2013-12-31,5.49,$0.29,18.93
2013-09-30,4.77,$0.30,15.9
2013-06-30,3.32,$0.26,12.77
2013-03-31,3.31,$0.24,13.79
2012-12-31,3.0,$0.23,13.04
2012-09-30,3.59,$0.22,16.32
2012-06-30,3.6,$0.25,14.4
2012-03-31,4.17,$0.25,16.68
2011-12-31,3.14,$0.44,7.14
2011-09-30,3.37,$0.40,8.43
2011-06-30,3.9,$0.38,10.26
2011-03-31,4.08,$0.38,10.74
2010-12-31,4.13,$0.18,22.94
2010-09-30,3.58,$0.08,44.75
2010-06-30,3.75,$-0.28,0.0
2010-03-31,3.46,$-0.89,0.0
2009-12-31,3.25,$-1.39,0.0
