Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.87,,10.11
2024-12-31,102.5,$9.78,10.48
2024-09-30,89.41,$8.04,11.12
2024-06-30,82.68,$7.31,11.31
2024-03-31,86.76,$4.53,19.15
2023-12-31,81.58,$5.08,16.06
2023-09-30,66.55,$5.27,12.63
2023-06-30,70.32,$5.58,12.6
2023-03-31,82.75,$5.88,14.07
2022-12-31,82.38,$6.14,13.42
2022-09-30,78.97,$7.34,10.76
2022-06-30,88.38,$7.34,12.04
2022-03-31,105.98,$7.20,14.72
2021-12-31,108.13,$7.13,15.17
2021-09-30,96.9,$6.34,15.28
2021-06-30,103.28,$5.86,17.63
2021-03-31,93.34,$5.60,16.67
2020-12-31,82.14,$5.45,15.07
2020-09-30,68.24,$6.03,11.32
2020-06-30,68.83,$6.40,10.75
2020-03-31,64.91,$6.69,9.7
2019-12-31,90.38,$6.62,13.65
2019-09-30,78.89,$6.72,11.74
2019-06-30,75.54,$6.61,11.43
2019-03-31,75.37,$6.54,11.52
2018-12-31,69.22,$6.64,10.42
2018-09-30,84.04,$6.35,13.23
2018-06-30,84.22,$5.97,14.11
2018-03-31,84.08,$5.41,15.54
2017-12-31,81.13,$4.92,16.49
2017-09-30,74.34,$4.52,16.45
2017-06-30,78.24,$4.40,17.78
2017-03-31,69.38,$4.37,15.88
2016-12-31,71.06,$4.29,16.56
2016-09-30,54.0,$4.17,12.95
2016-06-30,52.35,$4.05,12.93
2016-03-31,51.24,$4.06,12.62
2015-12-31,56.36,$3.99,14.12
2015-09-30,53.02,$3.98,13.32
2015-06-30,59.18,$3.86,15.33
2015-03-31,53.65,$3.51,15.28
2014-12-31,51.67,$3.32,15.56
2014-09-30,51.9,$3.04,17.07
2014-06-30,48.75,$3.04,16.04
2014-03-31,49.51,$3.07,16.13
2013-12-31,46.51,$2.99,15.55
2013-09-30,40.65,$2.98,13.64
2013-06-30,43.04,$2.87,15.0
2013-03-31,40.33,$2.82,14.3
2012-12-31,36.88,$2.81,13.12
2012-09-30,33.91,$2.65,12.8
2012-06-30,33.41,$2.63,12.7
2012-03-31,34.2,$2.52,13.57
2011-12-31,28.41,$2.47,11.5
2011-09-30,24.88,$2.58,9.64
2011-06-30,32.45,$2.51,12.93
2011-03-31,35.62,$2.71,13.14
2010-12-31,38.68,$2.74,14.12
2010-09-30,33.49,$2.92,11.47
2010-06-30,32.24,$3.05,10.57
2010-03-31,37.93,$3.18,11.93
2009-12-31,35.78,$3.15,11.36
