NVE PE Ratio Historical Data,NVE PE Ratio Historical Data,NVE PE Ratio Historical Data,NVE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,65.4,,21.1
2024-12-31,81.43,$3.10,26.27
2024-09-30,78.81,$3.34,23.6
2024-06-30,72.83,$3.49,20.87
2024-03-31,86.78,$3.55,24.45
2023-12-31,74.51,$4.46,16.71
2023-09-30,76.91,$4.47,17.21
2023-06-30,90.1,$4.75,18.97
2023-03-31,75.87,$4.70,16.14
2022-12-31,58.37,$3.79,15.4
2022-09-30,41.39,$3.63,11.4
2022-06-30,40.62,$3.12,13.02
2022-03-31,46.48,$3.00,15.49
2021-12-31,57.32,$2.86,20.04
2021-09-30,52.91,$2.95,17.93
2021-06-30,60.44,$2.66,22.72
2021-03-31,56.43,$2.42,23.32
2020-12-31,44.53,$2.46,18.1
2020-09-30,38.07,$2.42,15.73
2020-06-30,47.1,$2.75,17.13
2020-03-31,38.92,$2.99,13.02
2019-12-31,52.7,$2.89,18.23
2019-09-30,48.18,$2.83,17.02
2019-06-30,49.84,$2.92,17.07
2019-03-31,69.2,$2.99,23.15
2018-12-31,61.25,$3.20,19.14
2018-09-30,74.08,$3.23,22.94
2018-06-30,84.41,$3.00,28.14
2018-03-31,57.04,$2.87,19.87
2017-12-31,58.34,$2.69,21.69
2017-09-30,52.94,$2.67,19.83
2017-06-30,50.96,$2.70,18.88
2017-03-31,54.11,$2.67,20.27
2016-12-31,46.1,$2.59,17.8
2016-09-30,37.37,$2.40,15.57
2016-06-30,36.55,$2.40,15.23
2016-03-31,34.62,$2.53,13.68
2015-12-31,33.69,$2.74,12.3
2015-09-30,28.62,$2.78,10.3
2015-06-30,45.45,$2.90,15.67
2015-03-31,39.4,$2.95,13.36
2014-12-31,39.26,$2.73,14.38
2014-09-30,35.79,$2.73,13.11
2014-06-30,30.83,$2.59,11.9
2014-03-31,31.63,$2.29,13.81
2013-12-31,32.32,$2.40,13.47
2013-09-30,28.31,$2.43,11.65
2013-06-30,25.97,$2.27,11.44
2013-03-31,31.29,$2.43,12.88
2012-12-31,30.77,$2.42,12.72
2012-09-30,32.83,$2.29,14.33
2012-06-30,29.81,$2.31,12.9
2012-03-31,29.39,$2.32,12.67
2011-12-31,30.8,$2.44,12.62
2011-09-30,33.64,$2.67,12.6
2011-06-30,32.42,$2.81,11.54
2011-03-31,31.25,$2.75,11.36
2010-12-31,32.07,$2.74,11.71
2010-09-30,23.86,$2.61,9.14
2010-06-30,24.14,$2.50,9.66
2010-03-31,25.12,$2.47,10.17
2009-12-31,22.89,$2.38,9.62
