NVent Electric PE Ratio Historical Data,NVent Electric PE Ratio Historical Data,NVent Electric PE Ratio Historical Data,NVent Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.86,,29.01
2024-12-31,68.16,$1.96,34.78
2024-09-30,70.08,$3.41,20.55
2024-06-30,76.22,$3.42,22.29
2024-03-31,74.83,$3.43,21.82
2023-12-31,58.44,$3.37,17.34
2023-09-30,52.22,$2.80,18.65
2023-06-30,50.76,$2.72,18.66
2023-03-31,42.01,$2.53,16.61
2022-12-31,37.47,$2.37,15.81
2022-09-30,30.62,$1.82,16.82
2022-06-30,30.19,$1.71,17.65
2022-03-31,33.35,$1.62,20.59
2021-12-31,36.26,$1.61,22.52
2021-09-30,30.68,$1.50,20.46
2021-06-30,29.48,$0.24,122.83
2021-03-31,26.18,$0.00,0.0
2020-12-31,21.69,$-0.28,0.0
2020-09-30,16.33,$-0.29,0.0
2020-06-30,17.13,$0.88,19.47
2020-03-31,15.27,$1.08,14.14
2019-12-31,23.0,$1.29,17.83
2019-09-30,19.66,$1.39,14.14
2019-06-30,21.95,$1.42,15.46
2019-03-31,23.74,$1.31,18.12
