Omega Flex PE Ratio Historical Data,Omega Flex PE Ratio Historical Data,Omega Flex PE Ratio Historical Data,Omega Flex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.82,,21.13
2024-12-31,41.97,$1.79,23.45
2024-09-30,49.92,$1.81,27.58
2024-06-30,50.94,$1.90,26.81
2024-03-31,69.66,$1.90,36.66
2023-12-31,69.25,$2.05,33.78
2023-09-30,77.01,$2.18,35.33
2023-06-30,101.09,$2.28,44.34
2023-03-31,107.88,$2.37,45.52
2022-12-31,90.34,$2.34,38.61
2022-09-30,89.08,$2.48,35.92
2022-06-30,103.5,$2.44,42.42
2022-03-31,124.24,$2.51,49.5
2021-12-31,121.45,$2.59,46.89
2021-09-30,136.15,$2.55,53.39
2021-06-30,139.7,$2.42,57.73
2021-03-31,149.77,$2.16,69.34
2020-12-31,138.5,$1.97,70.3
2020-09-30,148.17,$1.81,81.86
2020-06-30,99.75,$1.66,60.09
2020-03-31,79.31,$1.70,46.65
2019-12-31,100.82,$1.70,59.31
2019-09-30,92.94,$1.75,53.11
2019-06-30,69.61,$1.93,36.07
2019-03-31,68.27,$2.01,33.96
2018-12-31,48.7,$1.99,24.47
2018-09-30,63.8,$1.83,34.86
2018-06-30,70.69,$1.72,41.1
2018-03-31,57.78,$1.55,37.28
2017-12-31,63.38,$1.55,40.89
2017-09-30,63.57,$1.52,41.82
2017-06-30,56.8,$1.51,37.62
2017-03-31,42.01,$1.58,26.59
2016-12-31,49.01,$1.43,34.28
2016-09-30,33.39,$1.49,22.41
2016-06-30,32.94,$1.52,21.67
2016-03-31,30.12,$1.51,19.95
2015-12-31,28.59,$1.56,18.32
2015-09-30,28.31,$1.52,18.62
2015-06-30,31.92,$1.50,21.28
2015-03-31,21.32,$1.43,14.91
2014-12-31,32.04,$1.34,23.91
2014-09-30,16.24,$1.23,13.2
2014-06-30,16.37,$1.10,14.88
2014-03-31,17.89,$1.06,16.88
2013-12-31,17.07,$1.00,17.07
2013-09-30,15.44,$0.84,18.38
2013-06-30,12.15,$0.74,16.42
2013-03-31,14.05,$0.54,26.01
2012-12-31,10.1,$0.77,13.12
2012-09-30,8.03,$0.78,10.3
2012-06-30,9.02,$0.71,12.7
2012-03-31,9.62,$0.78,12.33
2011-12-31,10.7,$0.47,22.76
2011-09-30,10.07,$0.50,20.14
2011-06-30,10.62,$0.48,22.13
2011-03-31,10.18,$0.43,23.68
2010-12-31,12.52,$0.46,27.23
2010-09-30,10.81,$0.43,25.15
2010-06-30,11.04,$0.51,21.65
2010-03-31,7.95,$0.50,15.9
2009-12-31,10.6,$0.43,24.65
