Singular Genomics Systems PE Ratio Historical Data,Singular Genomics Systems PE Ratio Historical Data,Singular Genomics Systems PE Ratio Historical Data,Singular Genomics Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,19.55,,0.0
2024-09-30,15.67,$-35.11,0.0
2024-06-30,8.45,$-37.70,0.0
2024-03-31,0.51,$-39.64,0.0
2023-12-31,0.46,$-39.34,0.0
2023-09-30,0.38,$-38.44,0.0
2023-06-30,0.83,$-39.04,0.0
2023-03-31,1.21,$-38.74,0.0
2022-12-31,2.01,$-38.14,0.0
2022-09-30,2.5,$-37.54,0.0
2022-06-30,3.82,$-63.06,0.0
2022-03-31,6.31,$-60.36,0.0
