Pioneer Bancorp PE Ratio Historical Data,Pioneer Bancorp PE Ratio Historical Data,Pioneer Bancorp PE Ratio Historical Data,Pioneer Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.95,,16.37
2024-09-30,10.97,$0.73,15.03
2024-06-30,10.01,$0.62,16.15
2024-03-31,9.81,$0.64,15.33
2023-12-31,10.01,$0.69,14.51
2023-09-30,8.54,$0.81,10.54
2023-06-30,8.95,$0.88,10.17
2023-03-31,9.86,$0.70,14.09
2022-12-31,11.4,$0.47,24.26
2022-09-30,9.52,$0.47,20.26
2022-06-30,9.8,$0.31,31.61
2022-03-31,10.52,$0.17,61.88
2021-12-31,11.32,$0.21,53.9
2021-09-30,12.64,$0.04,316.0
2021-06-30,12.02,$0.05,240.4
2021-03-31,11.65,$0.19,61.32
2020-12-31,10.57,$0.17,62.18
2020-09-30,8.88,$0.24,37.0
2020-06-30,9.15,$0.18,50.83
