PCB Bancorp PE Ratio Historical Data,PCB Bancorp PE Ratio Historical Data,PCB Bancorp PE Ratio Historical Data,PCB Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.88,,10.85
2024-12-31,20.24,$1.74,11.63
2024-09-30,18.79,$1.69,11.12
2024-06-30,16.28,$1.66,9.81
2024-03-31,16.33,$1.75,9.33
2023-12-31,18.43,$2.12,8.69
2023-09-30,15.45,$2.29,6.75
2023-06-30,14.71,$2.26,6.51
2023-03-31,14.49,$2.34,6.19
2022-12-31,17.69,$2.31,7.66
2022-09-30,18.07,$2.43,7.44
2022-06-30,18.54,$2.70,6.87
2022-03-31,22.61,$2.74,8.25
2021-12-31,21.5,$2.62,8.21
2021-09-30,19.39,$2.30,8.43
2021-06-30,15.58,$1.79,8.71
2021-03-31,14.43,$1.37,10.53
2020-12-31,9.65,$1.05,9.19
2020-09-30,8.31,$0.93,8.94
2020-06-30,9.64,$1.13,8.53
2020-03-31,9.06,$1.31,6.91
2019-12-31,15.88,$1.48,10.73
2019-09-30,15.05,$1.63,9.23
2019-06-30,15.53,$1.65,9.41
