Perella Weinberg Partners PE Ratio Historical Data,Perella Weinberg Partners PE Ratio Historical Data,Perella Weinberg Partners PE Ratio Historical Data,Perella Weinberg Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.52,,0.0
2024-12-31,23.84,$-1.58,0.0
2024-09-30,19.31,$-2.37,0.0
2024-06-30,16.25,$-2.88,0.0
2024-03-31,14.13,$-1.86,0.0
2023-12-31,12.23,$-1.32,0.0
2023-09-30,10.18,$-1.11,0.0
2023-06-30,8.33,$-1.03,0.0
2023-03-31,9.1,$-0.84,0.0
2022-12-31,9.8,$-0.47,0.0
2022-09-30,6.33,$-0.45,0.0
2022-06-30,5.77,$-0.35,0.0
2022-03-31,9.26,$-0.67,0.0
2021-12-31,12.52,$-0.67,0.0
2021-09-30,12.82,$-0.41,0.0
