Q32 Bio PE Ratio Historical Data,Q32 Bio PE Ratio Historical Data,Q32 Bio PE Ratio Historical Data,Q32 Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.08,,0.0
2024-12-31,3.44,$-9.21,0.0
2024-09-30,44.62,$-14.25,0.0
2024-06-30,17.95,$-23.04,0.0
2024-03-31,17.04,$-32.59,0.0
2023-12-31,196.99,$-35.25,0.0
2023-09-30,379.08,$-41.01,0.0
2023-06-30,286.74,$-41.37,0.0
2023-03-31,333.72,$-39.57,0.0
2022-12-31,408.24,$-1.98,0.0
2022-09-30,521.64,$-1.80,0.0
2022-06-30,638.28,$-0.90,0.0
2022-03-31,984.96,$-1.44,0.0
2021-12-31,1179.36,$-30.40,0.0
2021-09-30,2549.88,$-30.94,0.0
2021-06-30,2355.48,$-32.37,0.0
2021-03-31,3048.84,$-36.69,0.0
2020-12-31,3657.96,$-50.36,0.0
2020-09-30,3466.8,$-49.10,0.0
2020-06-30,4921.56,$-50.00,0.0
2020-03-31,5034.96,$-46.94,0.0
2019-12-31,6706.8,$-44.42,0.0
2019-09-30,5864.4,$-43.70,0.0
2019-06-30,6340.68,$-38.85,0.0
2019-03-31,8984.52,$-34.17,0.0
2018-12-31,7244.64,$-98.38,0.0
