RCI Hospitality Holdings PE Ratio Historical Data,RCI Hospitality Holdings PE Ratio Historical Data,RCI Hospitality Holdings PE Ratio Historical Data,RCI Hospitality Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.59,,81.41
2024-12-31,57.47,$0.56,102.63
2024-09-30,44.49,$0.32,139.03
2024-06-30,43.43,$0.52,83.53
2024-03-31,57.75,$2.04,28.31
2023-12-31,65.9,$2.79,23.62
2023-09-30,60.28,$3.13,19.26
2023-06-30,75.44,$4.05,18.63
2023-03-31,77.55,$4.57,16.97
2022-12-31,92.38,$4.89,18.89
2022-09-30,64.74,$4.90,13.21
2022-06-30,47.88,$4.01,11.94
2022-03-31,60.79,$3.90,15.59
2021-12-31,76.96,$3.43,22.44
2021-09-30,67.66,$3.38,20.02
2021-06-30,65.34,$2.81,23.25
2021-03-31,62.73,$0.84,74.67
2020-12-31,38.88,$-0.21,0.0
2020-09-30,20.08,$-0.68,0.0
2020-06-30,13.62,$-0.32,0.0
2020-03-31,9.78,$0.87,11.24
2019-12-31,20.05,$1.94,10.33
2019-09-30,20.19,$1.99,10.15
2019-06-30,17.06,$1.67,10.21
2019-03-31,22.33,$1.63,13.7
2018-12-31,21.68,$1.41,15.38
2018-09-30,28.71,$2.23,12.88
2018-06-30,30.66,$2.27,13.51
2018-03-31,27.48,$2.12,12.96
2017-12-31,27.06,$2.03,13.33
2017-09-30,23.91,$0.86,27.8
2017-06-30,23.0,$1.13,20.35
2017-03-31,16.69,$1.00,16.69
2016-12-31,16.45,$1.15,14.3
2016-09-30,11.07,$1.09,10.15
2016-06-30,9.75,$1.10,8.87
2016-03-31,8.46,$1.61,5.25
2015-12-31,9.5,$0.79,12.03
2015-09-30,9.91,$0.87,11.4
2015-06-30,11.32,$1.24,9.13
2015-03-31,9.9,$0.53,18.69
2014-12-31,9.53,$1.18,8.08
2014-09-30,10.48,$1.11,9.45
2014-06-30,9.71,$0.86,11.3
2014-03-31,10.72,$1.02,10.51
2013-12-31,11.02,$0.94,11.72
2013-09-30,11.22,$0.97,11.56
2013-06-30,8.21,$0.95,8.64
2013-03-31,8.41,$0.91,9.24
2012-12-31,7.65,$0.84,9.11
2012-09-30,7.88,$0.79,9.97
2012-06-30,8.25,$0.84,9.82
2012-03-31,8.88,$0.74,12.0
2011-12-31,8.05,$0.81,9.94
2011-09-30,6.33,$0.79,8.01
2011-06-30,8.03,$-0.65,0.0
2011-03-31,10.37,$-0.65,0.0
2010-12-31,7.45,$-0.64,0.0
2010-09-30,6.93,$-0.77,0.0
2010-06-30,7.51,$0.66,11.37
2010-03-31,12.18,$0.76,16.02
2009-12-31,8.14,$0.55,14.81
