Cartesian Therapeutics PE Ratio Historical Data,Cartesian Therapeutics PE Ratio Historical Data,Cartesian Therapeutics PE Ratio Historical Data,Cartesian Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.93,,0.0
2024-12-31,17.91,$-11.09,0.0
2024-09-30,16.12,$-52.83,0.0
2024-06-30,27.01,$-51.70,0.0
2024-03-31,19.5,$-54.34,0.0
2023-12-31,20.68,$-48.05,0.0
2023-09-30,31.8,$-5.11,0.0
2023-06-30,33.6,$-6.61,0.0
2023-03-31,41.7,$-2.70,0.0
2022-12-31,33.9,$3.90,8.68
2022-09-30,49.2,$3.60,13.65
2022-06-30,39.3,$0.30,130.87
2022-03-31,36.9,$-1.50,0.0
2021-12-31,97.8,$-10.51,0.0
2021-09-30,124.8,$-15.62,0.0
2021-06-30,125.4,$-13.51,0.0
2021-03-31,135.75,$-21.02,0.0
2020-12-31,90.9,$-20.72,0.0
2020-09-30,74.4,$-24.92,0.0
2020-06-30,85.2,$-30.03,0.0
2020-03-31,72.3,$-33.63,0.0
2019-12-31,71.4,$-36.64,0.0
2019-09-30,52.5,$-47.75,0.0
2019-06-30,53.7,$-61.26,0.0
2019-03-31,71.1,$-75.38,0.0
2018-12-31,79.8,$-87.39,0.0
2018-09-30,466.5,$-94.29,0.0
2018-06-30,397.5,$-92.79,0.0
2018-03-31,305.7,$-93.09,0.0
2017-12-31,294.3,$-96.40,0.0
2017-09-30,547.5,$-93.09,0.0
2017-06-30,595.8,$-86.19,0.0
2017-03-31,429.6,$-143.24,0.0
