Ryerson Holding PE Ratio Historical Data,Ryerson Holding PE Ratio Historical Data,Ryerson Holding PE Ratio Historical Data,Ryerson Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.45,,0.0
2024-12-31,18.51,$-0.26,0.0
2024-09-30,19.76,$0.61,32.39
2024-06-30,19.15,$1.81,10.58
2024-03-31,32.91,$2.58,12.75
2023-12-31,33.86,$4.07,8.32
2023-09-30,28.23,$2.68,10.53
2023-06-30,41.84,$3.14,13.33
2023-03-31,34.91,$7.18,4.86
2022-12-31,28.92,$10.08,2.87
2022-09-30,24.46,$13.44,1.82
2022-06-30,20.13,$13.25,1.52
2022-03-31,32.97,$11.06,2.98
2021-12-31,24.44,$7.55,3.24
2021-09-30,20.83,$4.40,4.73
2021-06-30,13.61,$2.08,6.54
2021-03-31,15.89,$-1.50,0.0
2020-12-31,12.72,$-1.73,0.0
2020-09-30,5.34,$-0.60,0.0
2020-06-30,5.25,$0.72,7.29
2020-03-31,4.96,$1.82,2.73
2019-12-31,11.03,$2.17,5.08
2019-09-30,7.95,$1.49,5.34
2019-06-30,7.77,$3.28,2.37
2019-03-31,7.98,$3.31,2.41
2018-12-31,5.91,$2.81,2.1
2018-09-30,10.53,$2.80,3.76
2018-06-30,10.39,$0.79,13.16
2018-03-31,7.6,$0.35,21.71
2017-12-31,9.7,$0.47,20.63
2017-09-30,10.11,$0.24,42.15
2017-06-30,9.23,$0.42,21.97
2017-03-31,11.75,$0.57,20.61
2016-12-31,12.45,$0.59,21.09
2016-09-30,10.53,$0.18,58.47
2016-06-30,16.31,$0.16,101.96
2016-03-31,5.18,$0.48,10.8
2015-12-31,4.35,$-0.02,0.0
2015-09-30,4.89,$0.77,6.36
2015-06-30,8.48,$-0.70,0.0
