Sera Prognostics PE Ratio Historical Data,Sera Prognostics PE Ratio Historical Data,Sera Prognostics PE Ratio Historical Data,Sera Prognostics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.93,,0.0
2024-12-31,8.14,$-0.74,0.0
2024-09-30,7.8,$-0.99,0.0
2024-06-30,5.92,$-0.98,0.0
2024-03-31,9.1,$-1.07,0.0
2023-12-31,5.98,$-1.16,0.0
2023-09-30,1.86,$-1.22,0.0
2023-06-30,3.3,$-1.34,0.0
2023-03-31,3.83,$-1.37,0.0
2022-12-31,1.26,$-1.43,0.0
2022-09-30,1.6,$-1.53,0.0
2022-06-30,1.64,$-1.57,0.0
