Sol-Gel Technologies PE Ratio Historical Data,Sol-Gel Technologies PE Ratio Historical Data,Sol-Gel Technologies PE Ratio Historical Data,Sol-Gel Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.58,,0.0
2024-09-30,0.68,$-0.34,0.0
2024-06-30,0.89,$-0.54,0.0
2024-03-31,0.98,$-0.83,0.0
2023-12-31,1.11,$-1.01,0.0
2023-09-30,1.63,$-1.09,0.0
2023-06-30,2.99,$-1.03,0.0
2023-03-31,3.88,$-0.82,0.0
2022-12-31,4.56,$-0.65,0.0
2022-09-30,5.02,$0.21,23.9
2022-06-30,4.1,$0.41,10.0
2022-03-31,7.38,$0.07,105.43
2021-12-31,7.4,$0.13,56.92
2021-09-30,10.0,$-0.84,0.0
2021-06-30,12.38,$-1.26,0.0
2021-03-31,12.38,$-1.22,0.0
2020-12-31,9.79,$-1.37,0.0
2020-09-30,7.24,$-1.33,0.0
2020-06-30,8.95,$-1.33,0.0
2020-03-31,7.06,$-1.28,0.0
2019-12-31,17.15,$-1.25,0.0
2019-09-30,8.99,$-2.33,0.0
2019-06-30,9.11,$-2.36,0.0
2019-03-31,6.77,$-2.46,0.0
2018-12-31,6.02,$-2.55,0.0
