Stag Industrial PE Ratio Historical Data,Stag Industrial PE Ratio Historical Data,Stag Industrial PE Ratio Historical Data,Stag Industrial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,35.14,,33.79
2024-12-31,33.82,$1.04,32.52
2024-09-30,38.83,$0.99,39.22
2024-06-30,35.49,$1.04,34.13
2024-03-31,37.57,$1.00,37.57
2023-12-31,38.0,$1.08,35.18
2023-09-30,33.06,$1.02,32.41
2023-06-30,34.02,$1.09,31.21
2023-03-31,31.73,$0.98,32.38
2022-12-31,29.99,$1.00,29.99
2022-09-30,26.09,$1.33,19.62
2022-06-30,28.0,$1.28,21.88
2022-03-31,37.11,$1.30,28.54
2021-12-31,42.66,$1.13,37.75
2021-09-30,34.63,$1.26,27.49
2021-06-30,32.74,$1.11,29.49
2021-03-31,29.11,$1.03,28.26
2020-12-31,26.82,$1.32,20.32
2020-09-30,25.8,$0.81,31.86
2020-06-30,24.54,$0.73,33.61
2020-03-31,18.6,$0.71,26.2
2019-12-31,25.74,$0.34,75.7
2019-09-30,23.76,$0.62,38.32
2019-06-30,24.08,$0.62,38.84
2019-03-31,23.33,$0.61,38.24
2018-12-31,19.33,$0.78,24.78
2018-09-30,21.17,$0.44,48.11
2018-06-30,20.69,$0.57,36.3
2018-03-31,17.93,$0.47,38.15
2017-12-31,20.19,$0.22,91.76
2017-09-30,20.03,$0.54,37.1
2017-06-30,19.87,$0.28,70.98
2017-03-31,17.78,$0.09,197.59
2016-12-31,16.73,$0.24,69.69
2016-09-30,16.92,$-0.46,0.0
2016-06-30,16.21,$-0.51,0.0
2016-03-31,13.64,$-0.43,0.0
2015-12-31,12.12,$-0.61,0.0
2015-09-30,11.76,$-0.37,0.0
2015-06-30,12.67,$-0.30,0.0
2015-03-31,14.67,$-0.28,0.0
2014-12-31,15.07,$-0.27,0.0
2014-09-30,12.57,$-0.14,0.0
2014-06-30,14.36,$-0.15,0.0
2014-03-31,14.23,$-0.11,0.0
2013-12-31,11.87,$-0.10,0.0
2013-09-30,11.55,$-0.25,0.0
2013-06-30,11.28,$-0.38,0.0
2013-03-31,11.85,$-0.43,0.0
2012-12-31,9.87,$-0.51,0.0
2012-09-30,8.8,$-0.57,0.0
2012-06-30,7.76,$-0.41,0.0
2012-03-31,7.29,$-0.56,0.0
