Talkspace PE Ratio Historical Data,Talkspace PE Ratio Historical Data,Talkspace PE Ratio Historical Data,Talkspace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.77,,inf
2024-12-31,3.09,0,0.0
2024-09-30,2.09,$-0.01,0.0
2024-06-30,2.3,$-0.05,0.0
2024-03-31,3.57,$-0.08,0.0
2023-12-31,2.54,$-0.12,0.0
2023-09-30,1.95,$-0.22,0.0
2023-06-30,1.27,$-0.30,0.0
2023-03-31,0.7,$-0.42,0.0
2022-12-31,0.61,$-0.50,0.0
2022-09-30,1.03,$-0.53,0.0
2022-06-30,1.7,$-0.41,0.0
2022-03-31,1.74,$-1.41,0.0
2021-12-31,1.97,$-1.28,0.0
2021-09-30,3.65,$-1.14,0.0
2021-06-30,8.31,$-1.15,0.0
