Teradyne PE Ratio Historical Data,Teradyne PE Ratio Historical Data,Teradyne PE Ratio Historical Data,Teradyne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,88.18,,26.48
2024-12-31,125.92,$3.33,37.81
2024-09-30,133.78,$3.15,42.47
2024-06-30,147.99,$3.04,48.68
2024-03-31,112.5,$2.63,42.78
2023-12-31,108.08,$2.73,39.59
2023-09-30,99.93,$3.05,32.77
2023-06-30,110.63,$3.37,32.83
2023-03-31,106.72,$3.80,28.08
2022-12-31,86.61,$4.22,20.52
2022-09-30,74.43,$4.47,16.65
2022-06-30,88.58,$4.78,18.53
2022-03-31,116.82,$5.38,21.71
2021-12-31,161.42,$5.55,29.08
2021-09-30,107.69,$5.31,20.28
2021-06-30,132.04,$5.11,25.84
2021-03-31,119.84,$4.40,27.24
2020-12-31,117.99,$4.28,27.57
2020-09-30,78.13,$3.98,19.63
2020-06-30,83.0,$3.52,23.58
2020-03-31,53.12,$3.02,17.59
2019-12-31,66.77,$2.67,25.01
2019-09-30,56.62,$2.71,20.89
2019-06-30,46.77,$2.59,18.06
2019-03-31,38.8,$2.56,15.16
2018-12-31,30.5,$2.37,12.87
2018-09-30,35.85,$1.04,34.47
2018-06-30,36.83,$0.93,39.6
2018-03-31,44.12,$1.28,34.47
2017-12-31,40.33,$1.27,31.75
2017-09-30,35.86,$2.14,16.76
2017-06-30,28.82,$1.93,14.93
2017-03-31,29.79,$-0.04,0.0
2016-12-31,24.27,$-0.22,0.0
2016-09-30,20.57,$-0.55,0.0
2016-06-30,18.72,$-0.52,0.0
2016-03-31,20.46,$1.06,19.3
2015-12-31,19.53,$0.97,20.13
2015-09-30,16.97,$0.49,34.62
2015-06-30,18.11,$0.53,34.17
2015-03-31,17.65,$0.52,33.94
2014-12-31,18.47,$0.37,49.92
2014-09-30,18.04,$0.94,19.19
2014-06-30,18.18,$0.85,21.39
2014-03-31,18.39,$0.66,27.86
2013-12-31,16.29,$0.69,23.61
2013-09-30,15.27,$0.51,29.95
2013-06-30,16.25,$0.61,26.63
2013-03-31,15.0,$0.82,18.29
2012-12-31,15.62,$0.94,16.61
2012-09-30,13.15,$1.59,8.27
2012-06-30,13.0,$1.45,8.97
2012-03-31,15.62,$1.35,11.57
2011-12-31,12.6,$1.61,7.83
2011-09-30,10.18,$1.32,7.71
2011-06-30,13.68,$1.73,7.91
2011-03-31,16.47,$1.89,8.71
2010-12-31,12.98,$1.72,7.55
2010-09-30,10.3,$1.54,6.69
2010-06-30,9.01,$0.92,9.8
2010-03-31,10.33,$-0.02,0.0
2009-12-31,9.92,$-0.79,0.0
