Taseko Mines PE Ratio Historical Data,Taseko Mines PE Ratio Historical Data,Taseko Mines PE Ratio Historical Data,Taseko Mines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.48,,13.05
2024-09-30,2.52,$0.19,13.26
2024-06-30,2.45,$0.19,12.89
2024-03-31,2.17,$0.24,9.04
2023-12-31,1.4,$0.20,7.0
2023-09-30,1.27,$0.02,63.5
2023-06-30,1.43,$-0.04,0.0
2023-03-31,1.66,$-0.08,0.0
2022-12-31,1.47,$-0.07,0.0
2022-09-30,1.14,$-0.03,0.0
2022-06-30,1.08,$0.09,12.0
2022-03-31,2.29,$0.15,15.27
2021-12-31,2.05,$0.10,20.5
2021-09-30,1.89,$0.09,21.0
2021-06-30,2.12,$0.03,70.67
2021-03-31,1.72,$0.05,34.4
2020-12-31,1.32,$-0.07,0.0
2020-09-30,1.06,$-0.12,0.0
2020-06-30,0.5,$-0.20,0.0
2020-03-31,0.27,$-0.29,0.0
2019-12-31,0.48,$-0.16,0.0
2019-09-30,0.42,$-0.20,0.0
2019-06-30,0.53,$-0.10,0.0
2019-03-31,0.59,$-0.09,0.0
2018-12-31,0.47,$-0.13,0.0
2018-09-30,0.8,$-0.08,0.0
2018-06-30,1.08,$-0.03,0.0
2018-03-31,1.15,0,0.0
2017-12-31,2.33,$0.11,21.18
2017-09-30,1.85,$0.14,13.21
2017-06-30,1.27,$0.02,63.5
2017-03-31,1.32,$-0.06,0.0
2016-12-31,0.85,$-0.11,0.0
2016-09-30,0.48,$-0.19,0.0
2016-06-30,0.49,$-0.20,0.0
2016-03-31,0.56,$-0.11,0.0
2015-12-31,0.34,$-0.20,0.0
2015-09-30,0.4,$-0.23,0.0
2015-06-30,0.55,$-0.27,0.0
2015-03-31,0.64,$-0.28,0.0
2014-12-31,1.03,$-0.24,0.0
2014-09-30,1.7,$-0.19,0.0
2014-06-30,2.5,$-0.09,0.0
2014-03-31,1.97,$-0.18,0.0
2013-12-31,2.12,$-0.18,0.0
2013-09-30,2.04,$-0.17,0.0
2013-06-30,1.88,$-0.19,0.0
2013-03-31,2.77,$-0.09,0.0
2012-12-31,3.0,$-0.08,0.0
2012-09-30,3.34,$-0.08,0.0
2012-06-30,2.66,$0.09,29.56
2012-03-31,3.52,$0.06,58.67
2011-12-31,2.73,$0.13,21.0
2011-09-30,2.55,$0.29,8.79
2011-06-30,4.96,$0.15,33.07
2011-03-31,5.93,$0.39,15.21
2010-12-31,5.25,$0.75,7.0
2010-09-30,5.2,$0.64,8.13
2010-06-30,4.28,$0.62,6.9
2010-03-31,5.18,$0.45,11.51
2009-12-31,4.22,$0.07,60.29
