"CVR Partners, LP PE Ratio Historical Data","CVR Partners, LP PE Ratio Historical Data","CVR Partners, LP PE Ratio Historical Data","CVR Partners, LP PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.0,,13.19
2024-12-31,75.96,$5.76,13.19
2024-09-30,65.99,$4.97,13.28
2024-06-30,72.42,$4.68,15.47
2024-03-31,73.42,$7.86,9.34
2023-12-31,59.68,$16.31,3.66
2023-09-30,73.8,$24.39,3.03
2023-06-30,68.63,$22.45,3.06
2023-03-31,67.48,$27.91,2.42
2022-12-31,69.04,$27.05,2.55
2022-09-30,77.38,$23.79,3.25
2022-06-30,62.14,$28.94,2.15
2022-03-31,84.41,$18.48,4.57
2021-12-31,48.29,$7.33,6.59
2021-09-30,39.21,$0.04,980.2
2021-06-30,33.83,$-4.94,0.0
2021-03-31,22.04,$-9.30,0.0
2020-12-31,8.75,$-8.73,0.0
2020-09-30,4.74,$-9.40,0.0
2020-06-30,4.64,$-9.70,0.0
2020-03-31,5.63,$-4.30,0.0
2019-12-31,16.93,$-3.00,0.0
2019-09-30,20.76,$-0.90,0.0
2019-06-30,21.13,$-0.10,0.0
2019-03-31,20.46,$-3.30,0.0
2018-12-31,17.04,$-4.50,0.0
2018-09-30,19.1,$-6.80,0.0
2018-06-30,16.54,$-8.40,0.0
2018-03-31,16.29,$-7.20,0.0
2017-12-31,16.44,$-6.40,0.0
2017-09-30,16.19,$-5.30,0.0
2017-06-30,17.49,$-3.70,0.0
2017-03-31,23.2,$-4.90,0.0
2016-12-31,29.99,$-1.50,0.0
2016-09-30,26.45,$2.40,11.02
2016-06-30,39.78,$1.80,22.1
2016-03-31,39.41,$7.00,5.63
2015-12-31,36.36,$8.60,4.23
2015-09-30,42.44,$9.40,4.51
2015-06-30,55.36,$12.90,4.29
2015-03-31,55.85,$11.50,4.86
2014-12-31,40.18,$10.30,3.9
2014-09-30,55.35,$10.70,5.17
2014-06-30,73.83,$11.70,6.31
2014-03-31,82.14,$14.20,5.78
2013-12-31,62.46,$16.20,3.86
2013-09-30,65.84,$14.50,4.54
2013-06-30,82.17,$16.10,5.1
2013-03-31,88.36,$16.10,5.49
2012-12-31,88.55,$15.30,5.79
2012-09-30,90.45,$18.80,4.81
2012-06-30,81.44,$19.50,4.18
2012-03-31,86.79,$19.90,4.36
