Unifi PE Ratio Historical Data,Unifi PE Ratio Historical Data,Unifi PE Ratio Historical Data,Unifi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.04,,0.0
2024-12-31,6.25,$-1.83,0.0
2024-09-30,7.34,$-2.31,0.0
2024-06-30,5.89,$-2.62,0.0
2024-03-31,5.99,$-3.25,0.0
2023-12-31,6.66,$-2.97,0.0
2023-09-30,7.1,$-2.87,0.0
2023-06-30,8.07,$-2.58,0.0
2023-03-31,8.17,$-1.54,0.0
2022-12-31,8.61,$-1.14,0.0
2022-09-30,9.51,$-0.09,0.0
2022-06-30,14.06,$0.81,17.36
2022-03-31,18.1,$1.32,13.71
2021-12-31,23.15,$1.46,15.86
2021-09-30,21.93,$1.81,12.12
2021-06-30,24.36,$1.53,15.92
2021-03-31,27.56,$-0.27,0.0
2020-12-31,17.74,$-2.75,0.0
2020-09-30,12.84,$-3.13,0.0
2020-06-30,12.88,$-3.11,0.0
2020-03-31,11.55,$-1.96,0.0
2019-12-31,25.26,$0.19,132.95
2019-09-30,21.92,$0.23,95.3
2019-06-30,18.17,$0.13,139.77
2019-03-31,19.35,$0.66,29.32
2018-12-31,22.84,$0.75,30.45
2018-09-30,28.33,$1.32,21.46
2018-06-30,31.7,$1.70,18.65
2018-03-31,36.25,$1.64,22.1
2017-12-31,35.87,$2.13,16.84
2017-09-30,35.63,$1.75,20.36
2017-06-30,30.8,$1.78,17.3
2017-03-31,28.39,$1.82,15.6
2016-12-31,32.63,$1.85,17.64
2016-09-30,29.43,$1.95,15.09
2016-06-30,27.23,$1.87,14.56
2016-03-31,22.91,$2.14,10.71
2015-12-31,28.15,$2.14,13.15
2015-09-30,29.81,$2.29,13.02
2015-06-30,33.5,$2.23,15.02
2015-03-31,36.09,$1.86,19.4
2014-12-31,29.73,$1.57,18.94
2014-09-30,25.9,$1.39,18.63
2014-06-30,27.53,$1.46,18.86
2014-03-31,23.07,$1.52,15.18
2013-12-31,27.24,$1.35,20.18
2013-09-30,23.36,$1.15,20.31
2013-06-30,20.67,$0.82,25.21
2013-03-31,19.1,$0.85,22.47
2012-12-31,13.01,$1.15,11.31
2012-09-30,12.82,$0.65,19.72
2012-06-30,11.33,$0.55,20.6
2012-03-31,9.66,$0.66,14.64
2011-12-31,7.6,$0.09,84.44
2011-09-30,8.17,$0.73,11.19
2011-06-30,13.8,$1.23,11.22
2011-03-31,17.0,$0.84,20.24
2010-12-31,16.93,$1.07,15.82
2010-09-30,13.53,$0.90,15.03
2010-06-30,11.46,$0.51,22.47
2010-03-31,10.92,$-0.21,0.0
2009-12-31,11.64,$-1.83,0.0
