Universal Health Realty Income Trust PE Ratio Historical Data,Universal Health Realty Income Trust PE Ratio Historical Data,Universal Health Realty Income Trust PE Ratio Historical Data,Universal Health Realty Income Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.72,,30.01
2024-12-31,37.21,$1.39,26.77
2024-09-30,44.89,$1.31,34.27
2024-06-30,37.8,$1.30,29.08
2024-03-31,34.79,$1.17,29.73
2023-12-31,40.16,$1.11,36.18
2023-09-30,36.92,$1.26,29.3
2023-06-30,42.75,$1.33,32.14
2023-03-31,42.59,$1.46,29.17
2022-12-31,41.64,$1.53,27.21
2022-09-30,37.16,$7.77,4.78
2022-06-30,45.08,$7.81,5.77
2022-03-31,48.75,$7.91,6.16
2021-12-31,49.07,$7.93,6.19
2021-09-30,45.06,$1.64,27.47
2021-06-30,49.56,$1.63,30.4
2021-03-31,54.03,$1.49,36.26
2020-12-31,50.73,$1.41,35.98
2020-09-30,44.54,$1.47,30.3
2020-06-30,61.48,$1.43,42.99
2020-03-31,77.39,$1.40,55.28
2019-12-31,89.12,$1.38,64.58
2019-09-30,77.6,$1.28,60.63
2019-06-30,63.67,$1.26,50.53
2019-03-31,56.31,$1.37,41.1
2018-12-31,45.23,$1.76,25.7
2018-09-30,54.27,$1.88,28.87
2018-06-30,46.26,$1.85,25.0
2018-03-31,43.02,$1.73,24.86
2017-12-31,53.15,$3.35,15.86
2017-09-30,52.96,$3.24,16.34
2017-06-30,55.31,$3.23,17.12
2017-03-31,44.47,$3.27,13.6
2016-12-31,44.74,$1.28,34.95
2016-09-30,42.53,$1.28,33.23
2016-06-30,38.17,$1.27,30.05
2016-03-31,37.12,$1.83,20.28
2015-12-31,32.6,$1.78,18.32
2015-09-30,30.21,$2.69,11.23
2015-06-30,29.5,$4.60,6.41
2015-03-31,35.23,$3.96,8.9
2014-12-31,29.78,$3.97,7.5
2014-09-30,25.45,$3.00,8.48
2014-06-30,26.16,$1.08,24.22
2014-03-31,25.05,$1.05,23.85
2013-12-31,23.41,$1.03,22.73
2013-09-30,23.74,$1.12,21.2
2013-06-30,24.09,$1.10,21.9
2013-03-31,31.79,$1.06,29.99
2012-12-31,27.58,$1.54,17.91
2012-09-30,24.74,$6.13,4.04
2012-06-30,22.04,$6.15,3.58
2012-03-31,20.71,$6.25,3.31
2011-12-31,20.06,$5.83,3.44
2011-09-30,17.01,$1.21,14.06
2011-06-30,19.89,$1.22,16.31
2011-03-31,19.86,$1.28,15.52
2010-12-31,17.62,$1.32,13.35
2010-09-30,16.33,$1.37,11.92
2010-06-30,14.96,$1.48,10.11
2010-03-31,16.15,$1.53,10.55
2009-12-31,14.39,$1.55,9.29
