USCB Financial Holdings PE Ratio Historical Data,USCB Financial Holdings PE Ratio Historical Data,USCB Financial Holdings PE Ratio Historical Data,USCB Financial Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.19,,21.56
2024-12-31,17.75,$0.89,19.94
2024-09-30,15.25,$1.03,14.81
2024-06-30,12.83,$0.87,14.75
2024-03-31,11.4,$0.77,14.81
2023-12-31,12.25,$0.83,14.76
2023-09-30,10.51,$0.91,11.55
2023-06-30,10.2,$1.00,10.2
2023-03-31,9.89,$1.05,9.42
2022-12-31,12.2,$1.00,12.2
2022-09-30,13.11,$1.08,12.14
2022-06-30,11.54,$-4.31,0.0
