V.F PE Ratio Historical Data,V.F PE Ratio Historical Data,V.F PE Ratio Historical Data,V.F PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.25,,0.0
2024-12-31,21.46,$-1.19,0.0
2024-09-30,19.86,$-1.73,0.0
2024-06-30,13.37,$-3.02,0.0
2024-03-31,15.09,$-2.50,0.0
2023-12-31,18.39,$-1.97,0.0
2023-09-30,17.2,$-0.55,0.0
2023-06-30,18.29,$0.30,60.98
2023-03-31,21.62,$0.31,69.73
2022-12-31,25.72,$1.07,24.03
2022-09-30,27.36,$1.08,25.34
2022-06-30,39.95,$2.57,15.54
2022-03-31,50.9,$3.53,14.42
2021-12-31,64.94,$3.55,18.29
2021-09-30,59.02,$3.11,18.98
2021-06-30,71.8,$2.59,27.72
2021-03-31,69.51,$1.04,66.83
2020-12-31,73.83,$-0.41,0.0
2020-09-30,60.39,$-0.13,0.0
2020-06-30,52.02,$0.82,63.43
2020-03-31,45.82,$1.67,27.44
2019-12-31,83.79,$3.21,26.1
2019-09-30,74.43,$3.21,23.19
2019-06-30,72.71,$2.86,25.42
2019-03-31,71.91,$3.14,22.9
2018-12-31,58.67,$2.82,20.81
2018-09-30,76.35,$1.66,45.99
2018-06-30,66.26,$1.37,48.36
2018-03-31,59.91,$1.24,48.32
2017-12-31,59.44,$1.74,34.16
2017-09-30,50.74,$1.74,29.16
2017-06-30,45.67,$1.96,23.3
2017-03-31,43.25,$1.81,23.89
2016-12-31,41.64,$1.92,21.69
2016-09-30,43.43,$1.92,22.62
2016-06-30,47.36,$1.80,26.31
2016-03-31,49.58,$2.08,23.84
2015-12-31,47.39,$2.14,22.15
2015-09-30,51.63,$2.14,24.13
2015-06-30,52.56,$2.15,24.45
2015-03-31,56.5,$2.11,26.78
2014-12-31,55.95,$2.11,26.52
2014-09-30,49.11,$2.11,23.28
2014-06-30,46.67,$2.00,23.31
2014-03-31,45.65,$1.95,23.38
2013-12-31,45.79,$1.88,24.32
2013-09-30,36.39,$1.88,19.33
2013-06-30,35.13,$1.77,19.91
2013-03-31,30.38,$1.81,16.83
2012-12-31,27.2,$1.68,16.17
2012-09-30,28.55,$1.68,16.97
2012-06-30,23.8,$1.50,15.86
2012-03-31,25.9,$1.44,17.95
2011-12-31,22.42,$1.42,15.79
2011-09-30,21.34,$1.42,15.03
2011-06-30,18.96,$1.30,14.56
2011-03-31,17.09,$1.26,13.56
2010-12-31,14.85,$1.17,12.69
2010-09-30,13.86,$1.17,11.85
2010-06-30,12.08,$1.10,10.98
2010-03-31,13.5,$1.02,13.23
2009-12-31,12.24,$0.88,13.87
