Western Alliance Bancorporation PE Ratio Historical Data,Western Alliance Bancorporation PE Ratio Historical Data,Western Alliance Bancorporation PE Ratio Historical Data,Western Alliance Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.61,,10.79
2024-12-31,83.54,$7.10,11.77
2024-09-30,86.13,$6.48,13.29
2024-06-30,62.26,$6.65,9.36
2024-03-31,63.26,$6.86,9.22
2023-12-31,64.46,$6.54,9.86
2023-09-30,44.69,$7.88,5.67
2023-06-30,35.21,$8.33,4.23
2023-03-31,33.86,$8.76,3.87
2022-12-31,56.47,$9.70,5.82
2022-09-30,62.01,$9.35,6.63
2022-06-30,66.31,$9.21,7.2
2022-03-31,77.42,$8.99,8.61
2021-12-31,100.26,$8.67,11.56
2021-09-30,101.04,$8.28,12.2
2021-06-30,85.91,$7.36,11.67
2021-03-31,87.17,$6.12,14.24
2020-12-31,55.17,$5.05,10.92
2020-09-30,28.96,$4.37,6.63
2020-06-30,34.45,$4.25,8.11
2020-03-31,27.61,$4.51,6.12
2019-12-31,51.2,$4.84,10.58
2019-09-30,41.19,$4.72,8.73
2019-06-30,39.74,$4.53,8.77
2019-03-31,36.47,$4.33,8.42
2018-12-31,35.09,$4.13,8.5
2018-09-30,50.55,$3.85,13.13
2018-06-30,50.3,$3.59,14.01
2018-03-31,51.64,$3.36,15.37
2017-12-31,50.31,$3.10,16.23
2017-09-30,47.17,$2.92,16.15
2017-06-30,43.72,$2.77,15.78
2017-03-31,43.62,$2.61,16.71
2016-12-31,43.28,$2.51,17.24
2016-09-30,33.36,$2.41,13.84
2016-06-30,29.01,$2.35,12.35
2016-03-31,29.66,$2.14,13.86
2015-12-31,31.86,$1.99,16.01
2015-09-30,27.29,$1.88,14.52
2015-06-30,30.0,$1.76,17.04
2015-03-31,26.34,$1.77,14.88
2014-12-31,24.7,$1.67,14.79
2014-09-30,21.24,$1.57,13.53
2014-06-30,21.15,$1.43,14.79
2014-03-31,21.86,$1.42,15.39
2013-12-31,21.2,$1.31,16.18
2013-09-30,16.82,$1.32,12.74
2013-06-30,14.07,$1.18,11.92
2013-03-31,12.3,$0.94,13.08
2012-12-31,9.36,$0.82,11.41
2012-09-30,9.06,$0.52,17.43
2012-06-30,8.32,$0.38,21.89
2012-03-31,7.53,$0.28,26.88
2011-12-31,5.54,$0.19,29.14
2011-09-30,4.87,$-0.05,0.0
2011-06-30,6.31,$-0.10,0.0
2011-03-31,7.3,$-0.17,0.0
2010-12-31,6.54,$-0.23,0.0
2010-09-30,5.95,$-0.47,0.0
2010-06-30,6.37,$-0.83,0.0
2010-03-31,5.06,$-1.12,0.0
2009-12-31,3.36,$-3.42,0.0
