Cactus PE Ratio Historical Data,Cactus PE Ratio Historical Data,Cactus PE Ratio Historical Data,Cactus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.4,,16.81
2024-12-31,58.36,$2.76,21.14
2024-09-30,59.55,$2.82,21.12
2024-06-30,52.53,$2.88,18.24
2024-03-31,49.77,$2.51,19.83
2023-12-31,44.99,$2.55,17.64
2023-09-30,49.62,$2.31,21.48
2023-06-30,41.72,$2.02,20.65
2023-03-31,40.51,$2.08,19.48
2022-12-31,49.27,$1.79,27.53
2022-09-30,37.6,$1.54,24.41
2022-06-30,39.3,$1.24,31.69
2022-03-31,55.26,$0.98,56.38
2021-12-31,37.05,$0.83,44.64
2021-09-30,36.55,$0.65,56.23
2021-06-30,35.49,$0.57,62.26
2021-03-31,29.52,$0.50,59.04
2020-12-31,25.06,$0.71,35.3
2020-09-30,18.38,$1.02,18.02
2020-06-30,19.68,$1.30,15.14
2020-03-31,11.02,$1.64,6.72
2019-12-31,32.49,$1.83,17.75
2019-09-30,27.31,$1.89,14.45
2019-06-30,31.26,$2.00,15.63
2019-03-31,33.6,$2.01,16.72
2018-12-31,25.87,$1.56,16.58
