Wheeler Real Estate Investment Trust PE Ratio Historical Data,Wheeler Real Estate Investment Trust PE Ratio Historical Data,Wheeler Real Estate Investment Trust PE Ratio Historical Data,Wheeler Real Estate Investment Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.13,,0.0
2024-12-31,3.37,"$-1,558.76",0.0
2024-09-30,16.18,"$-1,554.97",0.0
2024-06-30,93.18,"$-88,914.19",0.0
2024-03-31,678.24,"$-107,003.51",0.0
2023-12-31,1318.03,"$-122,343.17",0.0
2023-09-30,14169.6,"$-139,611.08",0.0
2023-06-30,26611.2,"$-70,510.65",0.0
2023-03-31,54864.0,"$-58,998.71",0.0
2022-12-31,60315.84,"$-63,315.69",0.0
2022-09-30,56160.0,"$-68,496.07",0.0
2022-06-30,109727.99,"$-50,076.95",0.0
2022-03-31,99359.99,"$-59,862.10",0.0
2021-12-31,83807.99,"$-48,637.95",0.0
2021-09-30,127007.99,"$-26,189.66",0.0
2021-06-30,218591.98,"$-31,945.63",0.0
2021-03-31,161999.99,"$-25,326.27",0.0
2020-12-31,119663.99,"$-32,809.04",0.0
2020-09-30,131327.99,"$-45,759.97",0.0
2020-06-30,75167.99,"$-53,242.73",0.0
2020-03-31,43200.0,"$-74,827.62",0.0
2019-12-31,70847.99,"$-67,344.86",0.0
2019-09-30,66960.0,"$-102,168.48",0.0
2019-06-30,60048.0,"$-100,153.89",0.0
2019-03-31,64368.0,"$-83,173.78",0.0
2018-12-31,38491.2,"$-90,656.54",0.0
2018-09-30,184895.99,"$-77,993.41",0.0
2018-06-30,174527.99,"$-81,159.19",0.0
2018-03-31,154655.99,"$-77,130.01",0.0
2017-12-31,431135.97,"$-72,813.03",0.0
2017-09-30,483607.35,"$-58,423.11",0.0
2017-06-30,414926.98,"$-52,667.14",0.0
2017-03-31,543808.93,"$-53,530.53",0.0
2016-12-31,518508.97,"$-55,257.32",0.0
2016-09-30,517292.69,"$-43,745.38",0.0
2016-06-30,441941.41,"$-115,119.42",0.0
2016-03-31,346350.54,"$-1,054,493.88",0.0
2015-12-31,512978.67,"$-1,224,870.65",0.0
2015-09-30,491223.76,"$-1,376,828.30",0.0
2015-06-30,510713.41,"$-1,438,992.80",0.0
2015-03-31,562790.21,"$-559,480.44",0.0
2014-12-31,945093.26,"$-414,429.94",0.0
2014-09-30,1064668.34,"$-262,472.29",0.0
2014-06-30,1087171.23,"$-207,214.95",0.0
2014-03-31,1025129.58,"$-225,634.06",0.0
2013-12-31,933954.39,"$-216,424.51",0.0
2013-09-30,911075.26,"$-207,214.96",0.0
