Yirendai PE Ratio Historical Data,Yirendai PE Ratio Historical Data,Yirendai PE Ratio Historical Data,Yirendai PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.85,,2.36
2024-09-30,5.69,$2.90,1.96
2024-06-30,4.38,$3.17,1.38
2024-03-31,4.36,$3.33,1.31
2023-12-31,3.01,$3.26,0.92
2023-09-30,2.35,$2.77,0.85
2023-06-30,2.2,$1.92,1.14
2023-03-31,2.06,$1.72,1.2
2022-09-30,1.03,$1.61,0.64
2022-06-30,1.74,$1.56,1.11
2021-12-31,2.76,$1.89,1.46
2021-09-30,2.91,$0.26,11.18
2021-06-30,5.81,$-0.19,0.0
2021-03-31,4.9,$-0.91,0.0
2020-12-31,3.23,$-1.21,0.0
2020-09-30,2.84,$0.43,6.61
2020-06-30,3.99,$0.64,6.23
2020-03-31,3.87,$1.23,3.15
2019-12-31,5.36,$1.79,3.0
2019-09-30,6.78,$1.94,3.5
2019-06-30,13.29,$1.95,6.82
2019-03-31,13.1,$2.21,5.93
2018-12-31,10.39,$2.34,4.44
2018-09-30,17.78,$2.68,6.63
2018-06-30,20.5,$3.07,6.68
2018-03-31,38.56,$3.23,11.94
2017-12-31,42.14,$3.35,12.58
2017-09-30,40.2,$3.15,12.76
2017-06-30,23.16,$3.26,7.1
2017-03-31,23.24,$3.27,7.11
2016-12-31,19.19,$2.77,6.93
2016-09-30,21.93,$2.11,10.39
