Associated Capital Price to Free Cash Flow Ratio Historical Data,Associated Capital Price to Free Cash Flow Ratio Historical Data,Associated Capital Price to Free Cash Flow Ratio Historical Data,Associated Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.97,,28.57
2024-12-31,34.26,$1.26,27.21
2024-09-30,33.6,$-4.48,0.0
2024-06-30,32.27,$-0.20,0.0
2024-03-31,30.93,$-1.74,0.0
2023-12-31,33.77,$6.66,5.07
2023-09-30,34.42,$7.17,4.8
2023-06-30,33.38,$3.67,9.09
2023-03-31,34.74,$3.86,9.0
2022-12-31,39.48,$-3.20,0.0
2022-09-30,34.48,$-12.72,0.0
2022-06-30,33.61,$1.62,20.71
2022-03-31,39.2,$1.10,35.56
2021-12-31,40.22,$10.77,3.74
2021-09-30,34.9,$21.78,1.6
2021-06-30,36.26,$9.29,3.9
2021-03-31,33.37,$-2.76,0.0
2020-12-31,32.68,$-12.99,0.0
2020-09-30,33.53,$-12.67,0.0
2020-06-30,34.05,$-12.08,0.0
2020-03-31,28.32,$-0.86,0.0
2019-12-31,36.28,$-2.15,0.0
2019-09-30,32.86,$0.98,33.58
2019-06-30,34.53,$3.69,9.35
2019-03-31,36.42,$4.02,9.05
2018-12-31,32.44,$3.34,9.72
2018-09-30,39.06,$2.39,16.36
2018-06-30,34.84,$-5.15,0.0
2018-03-31,34.29,$-3.47,0.0
2017-12-31,31.23,$-2.83,0.0
2017-09-30,32.6,$-7.08,0.0
2017-06-30,31.04,$0.65,47.41
2017-03-31,32.91,$-0.35,0.0
2016-12-31,29.81,$0.26,113.92
2016-09-30,32.18,$0.45,71.2
