Color Star Technology Price to Free Cash Flow Ratio Historical Data,Color Star Technology Price to Free Cash Flow Ratio Historical Data,Color Star Technology Price to Free Cash Flow Ratio Historical Data,Color Star Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,3.76
2018-09-30,16600.0,$0.24,68088.6
2018-06-30,22600.0,$0.79,28742.21
2018-03-31,8400.0,$-0.63,0.0
2017-12-31,17200.0,$2.00,8604.73
2017-09-30,6600.0,$-0.23,0.0
2017-06-30,10000.0,$0.66,15202.19
2017-03-31,11000.0,$3.17,3465.33
2016-12-31,8744.4,$2.63,3324.49
2016-09-30,11760.0,$0.72,16365.15
2016-06-30,10120.0,$2.60,3897.25
2016-03-31,7399.6,$1.57,4721.24
2015-12-31,6065.6,$2.90,2088.78
2015-09-30,11800.0,$0.91,12914.52
2015-06-30,15320.0,$-6.70,0.0
2015-03-31,15440.0,$-11.15,0.0
2014-12-31,17320.0,$-11.97,0.0
2014-09-30,15560.0,$2.31,6750.54
2014-06-30,15920.0,$4.48,3557.54
2014-03-31,20999.6,$-3.69,0.0
2013-12-31,19539.2,$-7.58,0.0
2013-09-30,16520.0,$-12.48,0.0
2013-06-30,15504.0,$-11.31,0.0
2013-03-31,19680.0,$1.48,13331.53
2012-12-31,23520.0,$2.39,9827.02
2012-09-30,20179.2,$-1.60,0.0
2012-06-30,78720.0,$-0.48,0.0
2012-03-31,115680.0,$-0.62,0.0
2011-12-31,114240.0,$-0.25,0.0
2011-09-30,74400.0,$0.15,495669.55
2011-06-30,80640.0,$-0.21,0.0
2011-03-31,167040.0,$-0.49,0.0
2010-12-31,224640.0,$-0.57,0.0
2010-09-30,167040.0,$-0.59,0.0
2010-06-30,169920.0,$-0.38,0.0
2010-03-31,247200.0,$0.08,3014634.15
2009-12-31,239040.0,$0.16,1489345.79
