Advantage Solutions Price to Free Cash Flow Ratio Historical Data,Advantage Solutions Price to Free Cash Flow Ratio Historical Data,Advantage Solutions Price to Free Cash Flow Ratio Historical Data,Advantage Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.66,,6.26
2024-12-31,2.92,$0.27,11.01
2024-09-30,3.43,$0.27,12.87
2024-06-30,3.22,$0.44,7.31
2024-03-31,4.33,$0.45,9.58
2023-12-31,3.62,$0.64,5.64
2023-09-30,2.84,$0.61,4.66
2023-06-30,2.34,$0.54,4.3
2023-03-31,1.58,$0.51,3.08
2022-12-31,2.08,$0.29,7.18
2022-09-30,2.13,$0.22,9.8
2022-06-30,3.8,$0.19,20.11
2022-03-31,6.38,$0.19,34.03
2021-12-31,8.02,$0.30,27.15
2021-09-30,8.65,$0.34,25.4
2021-06-30,10.79,$0.47,23.05
2021-03-31,11.81,$1.20,9.83
2020-12-31,13.17,$1.41,9.34
2020-09-30,10.16,$1.32,7.71
2020-06-30,11.05,$1.07,10.28
