Air Industries Group Price to Free Cash Flow Ratio Historical Data,Air Industries Group Price to Free Cash Flow Ratio Historical Data,Air Industries Group Price to Free Cash Flow Ratio Historical Data,Air Industries Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.94,,0.0
2024-09-30,5.58,$-1.05,0.0
2024-06-30,3.47,$0.59,5.85
2024-03-31,4.7,$0.59,7.93
2023-12-31,3.25,$0.84,3.87
2023-09-30,2.87,$1.63,1.76
2023-06-30,3.55,$-0.27,0.0
2023-03-31,3.81,$-0.72,0.0
2022-12-31,4.25,$-0.59,0.0
2022-09-30,6.6,$-0.37,0.0
2022-06-30,7.0,$0.64,10.92
2022-03-31,8.35,$0.92,9.12
2021-12-31,9.07,$0.74,12.24
2021-09-30,10.7,$0.55,19.48
2021-06-30,13.0,$-1.22,0.0
2021-03-31,14.7,$-1.25,0.0
2020-12-31,12.3,$-1.45,0.0
2020-09-30,12.2,$-2.06,0.0
2020-06-30,11.9,$-0.47,0.0
2020-03-31,10.6,$-0.09,0.0
2019-12-31,23.0,$-0.57,0.0
2019-09-30,13.07,$-0.07,0.0
2019-06-30,10.9,$-0.51,0.0
2019-03-31,11.9,$-1.19,0.0
2018-12-31,7.15,$-1.34,0.0
2018-09-30,13.9,$0.75,18.59
2018-06-30,18.0,$-0.70,0.0
2018-03-31,15.4,$-5.95,0.0
2017-12-31,16.9,$-4.16,0.0
2017-09-30,14.2,$-6.03,0.0
2017-06-30,17.9,$-6.42,0.0
2017-03-31,36.5,$-0.52,0.0
2016-12-31,31.5,$-0.86,0.0
2016-09-30,45.24,$-1.19,0.0
2016-06-30,47.5,$-1.77,0.0
2016-03-31,60.7,$-3.69,0.0
2015-12-31,81.5,$-3.29,0.0
2015-09-30,86.95,$-3.84,0.0
2015-06-30,98.14,$-4.62,0.0
2015-03-31,96.64,$0.37,259.01
2014-12-31,100.26,$-4.87,0.0
2014-09-30,98.35,$4.48,21.95
2014-06-30,100.48,$5.14,19.55
2014-03-31,84.39,$4.67,18.05
2013-12-31,79.69,$14.50,5.5
2013-09-30,69.75,$2.78,25.12
2013-06-30,53.31,$10.01,5.32
2013-03-31,51.87,$5.07,10.23
2012-12-31,62.22,$0.96,64.55
2012-09-30,51.66,$12.02,4.3
2012-06-30,53.18,$7.26,7.33
2012-03-31,26.89,$9.59,2.8
2011-12-31,25.02,$7.99,3.13
