A.k.a Brands Holding Price to Free Cash Flow Ratio Historical Data,A.k.a Brands Holding Price to Free Cash Flow Ratio Historical Data,A.k.a Brands Holding Price to Free Cash Flow Ratio Historical Data,A.k.a Brands Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.27,,0.0
2024-12-31,18.72,$-1.03,0.0
2024-09-30,23.61,$0.06,367.76
2024-06-30,15.25,$1.56,9.75
2024-03-31,9.94,$2.21,4.5
2023-12-31,8.05,$2.56,3.14
2023-09-30,0.43,$1.67,0.26
2023-06-30,0.43,$1.21,0.35
2023-03-31,0.54,$-0.68,0.0
2022-12-31,1.27,$-1.87,0.0
2022-09-30,1.45,$-2.44,0.0
2022-06-30,2.76,$-0.65,0.0
