Air Lease Price to Free Cash Flow Ratio Historical Data,Air Lease Price to Free Cash Flow Ratio Historical Data,Air Lease Price to Free Cash Flow Ratio Historical Data,Air Lease Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.41,,0.0
2024-12-31,48.21,$-12.15,0.0
2024-09-30,45.09,$-19.17,0.0
2024-06-30,47.09,$-3.11,0.0
2024-03-31,50.96,$-3.84,0.0
2023-12-31,41.36,$-9.84,0.0
2023-09-30,38.67,$-5.77,0.0
2023-06-30,40.86,$-22.27,0.0
2023-03-31,38.25,$-23.22,0.0
2022-12-31,37.13,$-18.11,0.0
2022-09-30,29.81,$-20.15,0.0
2022-06-30,31.98,$-20.02,0.0
2022-03-31,42.5,$-15.46,0.0
2021-12-31,41.91,$-15.01,0.0
2021-09-30,37.12,$-17.73,0.0
2021-06-30,39.22,$-15.77,0.0
2021-03-31,45.89,$-11.51,0.0
2020-12-31,41.46,$-12.60,0.0
2020-09-30,27.36,$-4.37,0.0
2020-06-30,27.11,$-10.60,0.0
2020-03-31,20.4,$-19.90,0.0
2019-12-31,43.35,$-21.68,0.0
2019-09-30,38.03,$-28.33,0.0
2019-06-30,37.48,$-22.16,0.0
2019-03-31,31.04,$-22.51,0.0
2018-12-31,27.19,$-18.96,0.0
2018-09-30,41.15,$-17.32,0.0
2018-06-30,37.56,$-15.30,0.0
2018-03-31,38.06,$-7.02,0.0
2017-12-31,42.84,$-9.71,0.0
2017-09-30,37.89,$-7.25,0.0
2017-06-30,33.15,$-8.86,0.0
2017-03-31,34.32,$-11.03,0.0
2016-12-31,30.34,$-8.89,0.0
2016-09-30,25.21,$-9.52,0.0
2016-06-30,23.58,$-11.17,0.0
2016-03-31,28.24,$-10.86,0.0
2015-12-31,29.39,$-11.87,0.0
2015-09-30,27.1,$-10.30,0.0
2015-06-30,29.67,$-11.05,0.0
2015-03-31,33.0,$-11.96,0.0
2014-12-31,29.97,$-9.41,0.0
2014-09-30,28.35,$-12.28,0.0
2014-06-30,33.63,$-10.90,0.0
2014-03-31,32.48,$-10.56,0.0
2013-12-31,27.05,$-14.06,0.0
2013-09-30,24.05,$-13.74,0.0
2013-06-30,23.97,$-13.27,0.0
2013-03-31,25.45,$-17.20,0.0
2012-12-31,18.64,$-17.22,0.0
2012-09-30,17.69,$-25.50,0.0
2012-06-30,16.81,$-28.20,0.0
2012-03-31,20.87,$-34.59,0.0
