Assertio Holdings Price to Free Cash Flow Ratio Historical Data,Assertio Holdings Price to Free Cash Flow Ratio Historical Data,Assertio Holdings Price to Free Cash Flow Ratio Historical Data,Assertio Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.71,,2.57
2024-12-31,0.87,$0.28,3.14
2024-09-30,1.18,$0.31,3.75
2024-06-30,1.24,$0.26,4.69
2024-03-31,0.96,$0.32,2.97
2023-12-31,1.07,$0.69,1.55
2023-09-30,2.56,$1.06,2.42
2023-06-30,5.42,$1.13,4.78
2023-03-31,6.37,$1.28,4.96
2022-12-31,4.3,$1.43,3.0
2022-09-30,2.27,$1.00,2.27
2022-06-30,2.95,$1.08,2.73
2022-03-31,2.87,$0.83,3.45
2021-12-31,2.18,$0.13,17.21
2021-09-30,0.91,$1.87,0.48
2021-06-30,1.56,$-1.96,0.0
2021-03-31,2.73,$-4.44,0.0
2020-12-31,1.43,$16.55,0.09
2020-09-30,2.66,$15.28,0.17
2020-06-30,3.43,$20.48,0.17
2020-03-31,2.6,$24.22,0.11
2019-12-31,5.0,$5.03,0.99
2019-09-30,5.12,$6.08,0.84
2019-06-30,13.8,$8.09,1.71
2019-03-31,20.28,$7.19,2.82
2018-12-31,14.44,$4.19,3.45
2018-09-30,23.52,$8.55,2.75
2018-06-30,26.68,$4.85,5.5
2018-03-31,26.36,$5.88,4.49
2017-12-31,32.2,$8.19,3.93
2017-09-30,23.16,$4.88,4.75
2017-06-30,42.96,$6.21,6.92
2017-03-31,50.2,$6.53,7.69
2016-12-31,72.08,$4.46,16.15
2016-09-30,99.88,$6.20,16.12
2016-06-30,78.48,$8.31,9.45
2016-03-31,55.72,$9.16,6.09
2015-12-31,72.52,$10.02,7.23
2015-09-30,75.4,$6.14,12.27
2015-06-30,85.84,$2.90,29.56
2015-03-31,89.64,$0.80,111.42
2014-12-31,64.44,$-3.41,0.0
2014-09-30,60.76,$-4.01,0.0
2014-06-30,55.6,$-3.03,0.0
2014-03-31,58.0,$-3.47,0.0
2013-12-31,42.32,$0.55,76.65
2013-09-30,29.88,$-0.13,0.0
2013-06-30,22.48,$-1.23,0.0
2013-03-31,23.48,$-2.25,0.0
2012-12-31,24.76,$-2.71,0.0
2012-09-30,23.64,$-3.08,0.0
2012-06-30,22.76,$-3.80,0.0
2012-03-31,25.04,$-2.49,0.0
2011-12-31,20.72,$4.06,5.1
2011-09-30,21.6,$5.25,4.11
2011-06-30,32.72,$6.13,5.34
2011-03-31,40.16,$6.26,6.41
2010-12-31,25.44,$-0.19,0.0
2010-09-30,17.92,$-0.78,0.0
2010-06-30,11.2,$-0.45,0.0
2010-03-31,14.2,$-1.65,0.0
2009-12-31,13.4,$0.09,142.71
