Astec Industries Price to Free Cash Flow Ratio Historical Data,Astec Industries Price to Free Cash Flow Ratio Historical Data,Astec Industries Price to Free Cash Flow Ratio Historical Data,Astec Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.73,,174.9
2024-12-31,33.6,$0.21,160.0
2024-09-30,31.83,$0.46,69.88
2024-06-30,29.44,$-1.53,0.0
2024-03-31,43.22,$-1.36,0.0
2023-12-31,36.67,$0.61,59.67
2023-09-30,46.24,$-2.16,0.0
2023-06-30,44.49,$-2.11,0.0
2023-03-31,40.25,$-4.18,0.0
2022-12-31,39.56,$-4.78,0.0
2022-09-30,30.26,$-4.91,0.0
2022-06-30,39.45,$-4.20,0.0
2022-03-31,41.48,$-1.94,0.0
2021-12-31,66.65,$-0.47,0.0
2021-09-30,51.69,$2.84,18.2
2021-06-30,60.35,$3.87,15.61
2021-03-31,72.2,$6.77,10.66
2020-12-31,55.33,$6.29,8.8
2020-09-30,51.75,$5.26,9.84
2020-06-30,44.08,$5.94,7.42
2020-03-31,33.19,$3.66,9.08
2019-12-31,39.72,$3.96,10.04
2019-09-30,29.33,$2.08,14.12
2019-06-30,30.59,$-1.40,0.0
2019-03-31,35.35,$-1.38,0.0
2018-12-31,28.19,$-2.49,0.0
2018-09-30,46.93,$-0.55,0.0
2018-06-30,55.54,$2.24,24.76
2018-03-31,51.15,$1.08,47.3
2017-12-31,54.14,$0.96,56.25
2017-09-30,51.74,$1.10,47.24
2017-06-30,51.17,$1.62,31.62
2017-03-31,56.59,$2.07,27.31
2016-12-31,61.98,$4.67,13.27
2016-09-30,54.91,$4.00,13.73
2016-06-30,51.41,$2.88,17.84
2016-03-31,42.64,$2.60,16.42
2015-12-31,37.1,$0.85,43.5
2015-09-30,30.47,$0.30,102.97
2015-06-30,37.92,$-0.04,0.0
2015-03-31,38.79,$0.07,524.2
2014-12-31,35.48,$-0.23,0.0
2014-09-30,32.83,$-0.49,0.0
2014-06-30,39.4,$0.01,0.0
2014-03-31,39.33,$-0.87,0.0
2013-12-31,34.52,$-0.93,0.0
2013-09-30,32.03,$0.47,68.24
2013-06-30,30.46,$0.16,187.9
2013-03-31,30.94,$0.47,65.17
2012-12-31,29.55,$0.13,227.81
2012-09-30,26.97,$0.32,84.42
2012-06-30,26.18,$-0.20,0.0
2012-03-31,31.13,$-0.24,0.0
2011-12-31,27.49,$-0.16,0.0
2011-09-30,24.99,$-0.92,0.0
2011-06-30,31.56,$-0.53,0.0
2011-03-31,31.82,$1.26,25.27
2010-12-31,27.66,$2.23,12.4
2010-09-30,24.35,$1.93,12.59
2010-06-30,23.66,$3.69,6.41
2010-03-31,24.71,$2.36,10.47
2009-12-31,22.99,$1.41,16.31
