Atara Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Atara Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Atara Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Atara Biotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.74,,0.0
2024-12-31,13.31,$-9.21,0.0
2024-09-30,8.13,$-18.02,0.0
2024-06-30,8.5,$-30.50,0.0
2024-03-31,17.35,$-41.79,0.0
2023-12-31,12.82,$-45.84,0.0
2023-09-30,37.0,$-47.95,0.0
2023-06-30,40.25,$-51.80,0.0
2023-03-31,72.5,$-55.03,0.0
2022-12-31,82.0,$-67.32,0.0
2022-09-30,94.5,$-62.91,0.0
2022-06-30,194.75,$-63.43,0.0
2022-03-31,232.25,$-64.75,0.0
2021-12-31,394.0,$-61.68,0.0
2021-09-30,447.5,$-58.92,0.0
2021-06-30,388.75,$-51.56,0.0
2021-03-31,359.0,$-53.25,0.0
2020-12-31,490.75,$-62.61,0.0
2020-09-30,324.0,$-91.28,0.0
2020-06-30,364.25,$-96.29,0.0
2020-03-31,212.75,$-148.07,0.0
2019-12-31,411.75,$-117.52,0.0
2019-09-30,353.0,$-120.08,0.0
2019-06-30,502.75,$-133.87,0.0
2019-03-31,993.75,$-85.98,0.0
2018-12-31,868.5,$-123.08,0.0
2018-09-30,1033.75,$-115.07,0.0
2018-06-30,918.75,$-107.48,0.0
2018-03-31,975.0,$-104.69,0.0
2017-12-31,452.5,$-90.19,0.0
2017-09-30,413.75,$-79.33,0.0
2017-06-30,350.0,$-73.02,0.0
2017-03-31,513.75,$-63.13,0.0
2016-12-31,355.0,$-54.86,0.0
2016-09-30,534.75,$-48.79,0.0
2016-06-30,562.75,$-45.04,0.0
2016-03-31,475.75,$-40.76,0.0
2015-12-31,660.25,$-36.59,0.0
2015-09-30,786.0,$-106.90,0.0
