Aytu BioPharma Price to Free Cash Flow Ratio Historical Data,Aytu BioPharma Price to Free Cash Flow Ratio Historical Data,Aytu BioPharma Price to Free Cash Flow Ratio Historical Data,Aytu BioPharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.25,,16.4
2024-12-31,1.7,$0.08,22.31
2024-09-30,2.35,$-0.30,0.0
2024-06-30,2.92,$-0.25,0.0
2024-03-31,3.04,$2.24,1.35
2023-12-31,2.84,$2.13,1.33
2023-09-30,2.7,$2.06,1.31
2023-06-30,1.6,$-1.54,0.0
2023-03-31,2.24,$-8.85,0.0
2022-12-31,3.78,$-13.79,0.0
2022-09-30,3.7,$-20.28,0.0
2022-06-30,13.8,$-19.61,0.0
2022-03-31,21.6,$-26.68,0.0
2021-12-31,27.0,$-26.93,0.0
2021-09-30,57.6,$-23.63,0.0
2021-06-30,100.2,$-33.80,0.0
2021-03-31,152.0,$-30.51,0.0
2020-12-31,119.6,$12.93,9.25
2020-09-30,238.0,$-99.72,0.0
2020-06-30,284.0,$-125.58,0.0
2020-03-31,300.0,$-245.15,0.0
2019-12-31,194.5,$-281.51,0.0
2019-09-30,242.0,$-61.63,0.0
2019-06-30,378.0,$-369.29,0.0
2019-03-31,334.0,"$-1,304.30",0.0
2018-12-31,158.48,"$-5,139.39",0.0
2018-09-30,552.0,"$-5,279.02",0.0
