BRIACELL THERAP Price to Free Cash Flow Ratio Historical Data,BRIACELL THERAP Price to Free Cash Flow Ratio Historical Data,BRIACELL THERAP Price to Free Cash Flow Ratio Historical Data,BRIACELL THERAP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.46,,0.0
2025-01-31,5.02,$-13.08,0.0
2024-10-31,0.81,$-19.47,0.0
2024-07-31,0.75,$-22.40,0.0
2024-04-30,2.17,$-29.25,0.0
2024-01-31,4.12,$-29.64,0.0
2023-10-31,4.25,$-26.21,0.0
2023-07-31,6.69,$-22.79,0.0
2023-04-30,7.44,$-15.53,0.0
2023-01-31,7.48,$-15.79,0.0
2022-10-31,5.5,$-13.75,0.0
2022-07-31,6.5,$-12.08,0.0
2022-04-30,6.96,$-16.30,0.0
2022-01-31,6.32,$-25.04,0.0
2021-10-31,7.95,$-26.33,0.0
2021-07-31,5.08,$-25.71,0.0
2021-04-30,3.69,$-26.75,0.0
2021-01-31,3.81,$-30.79,0.0
