Bar Harbor Bankshares Price to Free Cash Flow Ratio Historical Data,Bar Harbor Bankshares Price to Free Cash Flow Ratio Historical Data,Bar Harbor Bankshares Price to Free Cash Flow Ratio Historical Data,Bar Harbor Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.58,,10.09
2024-12-31,30.58,$3.03,10.09
2024-09-30,30.58,$3.13,9.76
2024-06-30,26.38,$2.71,9.74
2024-03-31,25.7,$2.17,11.85
2023-12-31,28.18,$2.72,10.37
2023-09-30,22.44,$2.87,7.81
2023-06-30,23.15,$3.05,7.6
2023-03-31,24.55,$4.23,5.81
2022-12-31,29.49,$3.53,8.35
2022-09-30,24.2,$4.32,5.6
2022-06-30,23.4,$4.19,5.59
2022-03-31,25.63,$3.27,7.83
2021-12-31,25.7,$3.82,6.73
2021-09-30,24.73,$1.05,23.54
2021-06-30,25.02,$0.80,31.16
2021-03-31,25.51,$1.67,15.25
2020-12-31,19.42,$0.91,21.32
2020-09-30,17.51,$1.94,9.02
2020-06-30,18.88,$1.58,11.93
2020-03-31,14.39,$1.33,10.78
2019-12-31,20.94,$1.34,15.63
2019-09-30,20.39,$1.77,11.54
2019-06-30,21.74,$1.93,11.28
2019-03-31,20.98,$1.81,11.61
2018-12-31,18.04,$2.12,8.53
2018-09-30,22.92,$2.71,8.47
2018-06-30,24.01,$2.75,8.72
2018-03-31,21.83,$2.94,7.43
2017-12-31,21.13,$2.43,8.68
2017-09-30,24.37,$1.76,13.87
2017-06-30,23.77,$1.49,15.91
2017-03-31,25.35,$1.18,21.46
2016-12-31,24.02,$1.37,17.58
2016-09-30,18.5,$1.49,12.38
2016-06-30,17.55,$4.95,3.55
2016-03-31,16.47,$1.92,8.57
2015-12-31,16.92,$2.03,8.33
2015-09-30,15.61,$1.64,9.52
2015-06-30,17.16,$-1.60,0.0
2015-03-31,15.65,$1.39,11.27
2014-12-31,15.27,$1.51,10.1
2014-09-30,13.7,$1.83,7.49
2014-06-30,13.09,$1.79,7.33
2014-03-31,11.9,$2.11,5.64
2013-12-31,12.3,$2.16,5.71
2013-09-30,11.22,$2.23,5.03
2013-06-30,11.05,$2.21,4.99
2013-03-31,10.96,$2.12,5.18
2012-12-31,10.0,$1.95,5.13
2012-09-30,10.53,$1.60,6.56
2012-06-30,10.51,$1.53,6.88
2012-03-31,9.63,$1.32,7.29
2011-12-31,8.6,$1.42,6.07
2011-09-30,7.96,$1.59,5.0
2011-06-30,7.94,$1.49,5.33
2011-03-31,8.43,$1.32,6.37
2010-12-31,8.02,$1.29,6.24
2010-09-30,7.58,$0.39,19.4
2010-06-30,6.77,$0.43,15.57
2010-03-31,8.19,$0.61,13.48
2009-12-31,7.3,$0.71,10.22
