Brighthouse Financial Price to Free Cash Flow Ratio Historical Data,Brighthouse Financial Price to Free Cash Flow Ratio Historical Data,Brighthouse Financial Price to Free Cash Flow Ratio Historical Data,Brighthouse Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.98,,0.0
2024-12-31,48.04,$-4.71,0.0
2024-09-30,45.03,$-0.50,0.0
2024-06-30,43.34,$4.19,10.35
2024-03-31,51.54,$-3.12,0.0
2023-12-31,52.92,$-2.08,0.0
2023-09-30,48.94,$-7.16,0.0
2023-06-30,47.35,$-25.57,0.0
2023-03-31,44.11,$-21.49,0.0
2022-12-31,51.27,$-16.69,0.0
2022-09-30,43.42,$-14.07,0.0
2022-06-30,41.02,$6.25,6.56
2022-03-31,51.66,$6.21,8.32
2021-12-31,51.8,$7.59,6.83
2021-09-30,45.23,$11.49,3.94
2021-06-30,45.54,$5.18,8.79
2021-03-31,44.25,$7.21,6.14
2020-12-31,36.21,$9.31,3.89
2020-09-30,26.91,$9.95,2.7
2020-06-30,27.82,$14.18,1.96
2020-03-31,24.17,$13.94,1.73
2019-12-31,39.23,$16.25,2.41
2019-09-30,40.47,$24.90,1.63
2019-06-30,36.69,$24.06,1.52
2019-03-31,36.29,$26.34,1.38
2018-12-31,30.48,$25.55,1.19
2018-09-30,44.24,$23.91,1.85
2018-06-30,40.07,$36.84,1.09
