Benitec Biopharma Price to Free Cash Flow Ratio Historical Data,Benitec Biopharma Price to Free Cash Flow Ratio Historical Data,Benitec Biopharma Price to Free Cash Flow Ratio Historical Data,Benitec Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.79,,0.0
2024-12-31,12.63,$-1.52,0.0
2024-09-30,9.19,$-3.13,0.0
2024-06-30,6.99,$-4.82,0.0
2024-03-31,5.25,$-10.77,0.0
2023-12-31,3.23,$-10.76,0.0
2023-09-30,3.02,$-8.79,0.0
2023-06-30,0.24,$-13.00,0.0
2023-03-31,0.21,$-18.57,0.0
2022-12-31,0.17,$-23.34,0.0
2022-09-30,0.37,"$1,741.23",0.0
2022-06-30,1.16,$-33.10,0.0
2022-03-31,2.34,$-45.88,0.0
2021-12-31,2.62,$-43.69,0.0
2021-09-30,3.57,"$-1,793.47",0.0
2021-06-30,4.25,$-51.69,0.0
2021-03-31,5.17,$-690.42,0.0
2020-12-31,3.0,"$-1,510.47",0.0
2020-09-30,6.28,"$-1,536.26",0.0
2020-06-30,7.91,"$-1,558.01",0.0
2020-03-31,3.93,"$-1,017.64",0.0
2019-09-30,7.11,$-192.66,0.0
2017-09-30,21.7,$-181.89,0.0
2016-09-30,14.0,$-121.26,0.0
