Boston Omaha Price to Free Cash Flow Ratio Historical Data,Boston Omaha Price to Free Cash Flow Ratio Historical Data,Boston Omaha Price to Free Cash Flow Ratio Historical Data,Boston Omaha Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.0,,0.0
2024-09-30,14.87,$-0.54,0.0
2024-06-30,13.46,$-0.95,0.0
2024-03-31,15.46,$-1.13,0.0
2023-12-31,15.73,$-1.15,0.0
2023-09-30,16.39,$-1.16,0.0
2023-06-30,18.82,$-1.09,0.0
2023-03-31,23.67,$-1.01,0.0
2022-12-31,26.5,$-1.52,0.0
2022-09-30,23.04,$-1.63,0.0
2022-06-30,20.65,$-1.36,0.0
2022-03-31,25.37,$-1.24,0.0
2021-12-31,28.73,$-0.46,0.0
2021-09-30,38.78,$-0.19,0.0
2021-06-30,31.71,$-0.08,0.0
2021-03-31,29.56,$-0.05,0.0
2020-12-31,27.65,$-0.13,0.0
2020-09-30,16.0,$0.07,220.39
2020-06-30,16.0,$0.13,122.98
2020-03-31,18.11,$0.30,60.83
2019-12-31,21.04,$0.30,70.02
2019-09-30,19.83,$0.17,115.22
2019-06-30,23.15,$0.13,172.76
2019-03-31,24.94,$-0.07,0.0
2018-12-31,23.4,$-0.15,0.0
2018-09-30,29.9,$-0.43,0.0
2018-06-30,21.07,$-0.42,0.0
2018-03-31,21.86,$-0.61,0.0
