Bolt Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Bolt Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Bolt Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Bolt Biotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.44,,0.0
2024-09-30,0.65,$-1.60,0.0
2024-06-30,0.75,$-1.69,0.0
2024-03-31,1.4,$-1.66,0.0
2023-12-31,1.12,$-1.84,0.0
2023-09-30,1.04,$-1.95,0.0
2023-06-30,1.28,$-1.88,0.0
2023-03-31,1.39,$-2.05,0.0
2022-12-31,1.3,$-2.10,0.0
2022-09-30,1.48,$-2.30,0.0
2022-06-30,2.04,$-2.44,0.0
2022-03-31,2.74,$-1.69,0.0
2021-12-31,4.9,$-1.79,0.0
