DMC Global Price to Free Cash Flow Ratio Historical Data,DMC Global Price to Free Cash Flow Ratio Historical Data,DMC Global Price to Free Cash Flow Ratio Historical Data,DMC Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.54,,5.52
2024-12-31,7.35,$1.55,4.75
2024-09-30,12.98,$1.98,6.56
2024-06-30,14.42,$2.42,5.97
2024-03-31,19.49,$2.86,6.81
2023-12-31,18.82,$2.58,7.3
2023-09-30,24.47,$2.49,9.82
2023-06-30,17.76,$2.25,7.9
2023-03-31,21.97,$1.93,11.39
2022-12-31,19.44,$1.36,14.26
2022-09-30,15.98,$-0.10,0.0
2022-06-30,18.03,$-0.89,0.0
2022-03-31,30.5,$-1.55,0.0
2021-12-31,39.61,$-1.16,0.0
2021-09-30,36.91,$-0.06,0.0
2021-06-30,56.21,$0.40,140.24
2021-03-31,54.26,$1.20,45.1
2020-12-31,43.25,$1.12,38.66
2020-09-30,32.94,$2.48,13.26
2020-06-30,27.6,$2.33,11.85
2020-03-31,23.01,$2.58,8.91
2019-12-31,44.68,$2.64,16.94
2019-09-30,43.6,$1.12,38.87
2019-06-30,62.63,$0.58,107.1
2019-03-31,49.06,$-0.58,0.0
2018-12-31,34.7,$-1.19,0.0
2018-09-30,40.28,$-1.14,0.0
2018-06-30,44.31,$-0.81,0.0
2018-03-31,26.39,$-0.05,0.0
2017-12-31,24.69,$0.04,629.91
2017-09-30,16.65,$-0.28,0.0
2017-06-30,12.89,$0.00,0.0
2017-03-31,12.18,$0.17,73.34
2016-12-31,15.54,$0.88,17.6
2016-09-30,10.44,$1.50,6.94
2016-06-30,10.51,$0.76,13.91
2016-03-31,6.32,$0.31,20.64
2015-12-31,6.8,$-0.27,0.0
2015-09-30,9.25,$-1.35,0.0
2015-06-30,10.62,$-0.13,0.0
2015-03-31,12.29,$-0.29,0.0
2014-12-31,15.37,$0.14,110.19
2014-09-30,18.23,$0.60,30.63
2014-06-30,21.14,$0.50,42.38
2014-03-31,18.15,$1.12,16.24
2013-12-31,20.68,$1.17,17.73
2013-09-30,22.01,$1.52,14.49
2013-06-30,15.65,$0.64,24.45
2013-03-31,16.46,$0.23,70.38
2012-12-31,13.12,$0.41,32.09
2012-09-30,14.13,$0.46,30.63
2012-06-30,16.26,$0.46,35.55
2012-03-31,19.76,$0.45,44.32
2011-12-31,18.48,$0.15,121.05
2011-09-30,14.69,$0.25,59.37
2011-06-30,20.86,$0.26,80.3
2011-03-31,25.96,$0.01,2199.99
2010-12-31,20.92,$1.02,20.47
2010-09-30,14.01,$1.04,13.45
2010-06-30,14.8,$1.86,7.94
2010-03-31,14.38,$2.89,4.98
2009-12-31,18.41,$2.02,9.1
