Boyd Gaming Price to Free Cash Flow Ratio Historical Data,Boyd Gaming Price to Free Cash Flow Ratio Historical Data,Boyd Gaming Price to Free Cash Flow Ratio Historical Data,Boyd Gaming Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.74,,11.36
2024-12-31,72.54,$5.96,12.16
2024-09-30,64.5,$5.60,11.52
2024-06-30,54.82,$5.20,10.53
2024-03-31,66.77,$5.19,12.86
2023-12-31,61.93,$5.33,11.61
2023-09-30,60.01,$5.29,11.35
2023-06-30,68.27,$5.91,11.55
2023-03-31,62.96,$6.44,9.78
2022-12-31,53.4,$6.49,8.23
2022-09-30,46.54,$6.86,6.78
2022-06-30,48.44,$7.01,6.91
2022-03-31,63.86,$7.36,8.67
2021-12-31,63.36,$7.11,8.92
2021-09-30,61.13,$6.43,9.51
2021-06-30,59.42,$5.67,10.47
2021-03-31,56.98,$2.81,20.28
2020-12-31,41.48,$1.00,41.3
2020-09-30,29.66,$0.98,30.24
2020-06-30,20.2,$0.65,31.31
2020-03-31,13.93,$2.12,6.56
2019-12-31,28.93,$3.00,9.66
2019-09-30,23.09,$5.79,3.99
2019-06-30,25.9,$3.12,8.31
2019-03-31,26.23,$2.22,11.79
2018-12-31,19.88,$2.37,8.38
2018-09-30,32.29,$-0.73,0.0
2018-06-30,33.01,$1.76,18.73
2018-03-31,30.29,$2.48,12.23
2017-12-31,33.27,$2.00,16.66
2017-09-30,24.69,$1.49,16.53
2017-06-30,23.47,$1.16,20.3
2017-03-31,20.78,$1.15,18.12
2016-12-31,19.04,$1.22,15.67
2016-09-30,18.68,$1.56,11.96
2016-06-30,17.37,$1.60,10.83
2016-03-31,19.51,$1.74,11.18
2015-12-31,18.76,$1.71,10.96
2015-09-30,15.39,$1.49,10.35
2015-06-30,14.12,$1.48,9.52
2015-03-31,13.41,$1.38,9.69
2014-12-31,12.07,$1.38,8.75
2014-09-30,9.59,$1.51,6.37
2014-06-30,11.45,$0.72,15.99
2014-03-31,12.46,$0.64,19.47
2013-12-31,10.63,$4.95,2.15
2013-09-30,13.36,$4.42,3.03
2013-06-30,10.67,$4.79,2.23
2013-03-31,7.81,$4.40,1.77
2012-12-31,6.27,$0.25,25.42
2012-09-30,6.67,$1.34,4.97
2012-06-30,6.8,$1.56,4.35
2012-03-31,7.4,$1.74,4.26
2011-12-31,7.04,$1.88,3.75
2011-09-30,4.63,$1.25,3.7
2011-06-30,8.21,$1.82,4.52
2011-03-31,8.85,$2.39,3.7
2010-12-31,10.01,$2.23,4.49
2010-09-30,6.85,$2.84,2.41
2010-06-30,8.02,$2.49,3.22
2010-03-31,9.33,$1.88,4.97
2009-12-31,7.9,$0.98,8.1
