CNB Financial Price to Free Cash Flow Ratio Historical Data,CNB Financial Price to Free Cash Flow Ratio Historical Data,CNB Financial Price to Free Cash Flow Ratio Historical Data,CNB Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.62,,7.39
2024-12-31,24.86,$3.06,8.12
2024-09-30,23.91,$2.51,9.51
2024-06-30,20.13,$1.97,10.2
2024-03-31,19.93,$2.15,9.28
2023-12-31,21.89,$1.73,12.65
2023-09-30,17.4,$2.14,8.14
2023-06-30,16.8,$2.28,7.36
2023-03-31,18.08,$2.85,6.34
2022-12-31,22.24,$2.90,7.67
2022-09-30,21.88,$2.89,7.58
2022-06-30,22.31,$3.10,7.21
2022-03-31,24.11,$2.69,8.95
2021-12-31,24.11,$3.16,7.63
2021-09-30,22.0,$2.52,8.75
2021-06-30,20.48,$2.04,10.03
2021-03-31,21.94,$1.72,12.77
2020-12-31,18.84,$1.49,12.68
2020-09-30,13.05,$2.24,5.82
2020-06-30,15.56,$2.49,6.24
2020-03-31,16.23,$3.33,4.87
2019-12-31,27.91,$2.92,9.57
2019-09-30,24.38,$2.72,8.96
2019-06-30,23.84,$2.66,8.97
2019-03-31,21.19,$2.49,8.5
2018-12-31,19.13,$2.82,6.79
2018-09-30,24.05,$2.40,10.02
2018-06-30,24.92,$2.32,10.75
2018-03-31,23.98,$2.10,11.41
2017-12-31,21.5,$1.75,12.28
2017-09-30,22.26,$4.16,5.35
2017-06-30,19.4,$1.24,15.65
2017-03-31,19.18,$0.80,24.04
2016-12-31,21.33,$1.20,17.83
2016-09-30,16.76,$-1.36,0.0
2016-06-30,13.99,$1.58,8.88
2016-03-31,13.69,$1.97,6.94
2015-12-31,13.91,$1.93,7.19
2015-09-30,13.89,$1.95,7.13
2015-06-30,13.93,$1.73,8.04
2015-03-31,12.76,$1.57,8.13
2014-12-31,13.74,$1.63,8.42
2014-09-30,11.56,$2.31,5.0
2014-06-30,12.25,$2.23,5.48
2014-03-31,12.76,$2.26,5.65
2013-12-31,13.59,$2.25,6.03
2013-09-30,12.09,$2.00,6.06
2013-06-30,11.9,$2.01,5.92
2013-03-31,11.86,$1.98,6.0
2012-12-31,11.28,$2.15,5.25
2012-09-30,11.94,$1.85,6.44
2012-06-30,11.01,$2.12,5.18
2012-03-31,11.16,$2.58,4.32
2011-12-31,10.42,$2.36,4.42
2011-09-30,8.37,$2.29,3.66
2011-06-30,8.96,$1.60,5.6
2011-03-31,9.25,$1.24,7.44
2010-12-31,9.33,$0.94,9.92
2010-09-30,8.57,$0.81,10.54
2010-06-30,6.75,$1.58,4.27
2010-03-31,9.39,$1.04,9.06
2009-12-31,9.63,$1.63,5.9
