CEA Industries Price to Free Cash Flow Ratio Historical Data,CEA Industries Price to Free Cash Flow Ratio Historical Data,CEA Industries Price to Free Cash Flow Ratio Historical Data,CEA Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.0,,0.0
2024-09-30,7.13,$-4.04,0.0
2024-06-30,6.71,$-4.18,0.0
2024-03-31,0.58,$-6.44,0.0
2023-12-31,0.55,$-9.11,0.0
2023-09-30,0.75,$-12.15,0.0
2023-06-30,0.75,$-10.13,0.0
2023-03-31,0.87,$-9.91,0.0
2022-12-31,0.84,$-5.45,0.0
