Cincinnati Financial Price to Free Cash Flow Ratio Historical Data,Cincinnati Financial Price to Free Cash Flow Ratio Historical Data,Cincinnati Financial Price to Free Cash Flow Ratio Historical Data,Cincinnati Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,146.22,,8.78
2024-12-31,143.7,$16.65,8.63
2024-09-30,136.12,$16.14,8.43
2024-06-30,117.4,$14.57,8.06
2024-03-31,122.56,$13.50,9.08
2023-12-31,101.43,$12.87,7.88
2023-09-30,99.55,$13.25,7.51
2023-06-30,94.05,$13.32,7.06
2023-03-31,107.51,$13.17,8.16
2022-12-31,97.56,$12.83,7.61
2022-09-30,84.78,$11.76,7.21
2022-06-30,111.84,$11.19,9.99
2022-03-31,127.03,$11.15,11.4
2021-12-31,105.89,$12.08,8.76
2021-09-30,105.59,$11.49,9.19
2021-06-30,107.23,$10.89,9.85
2021-03-31,94.3,$10.20,9.24
2020-12-31,79.45,$9.06,8.77
2020-09-30,70.38,$8.80,8.0
2020-06-30,57.34,$8.11,7.07
2020-03-31,66.94,$6.99,9.57
2019-12-31,92.63,$7.17,12.92
2019-09-30,102.23,$7.29,14.03
2019-06-30,90.39,$7.09,12.74
2019-03-31,74.5,$7.32,10.17
2018-12-31,66.7,$7.06,9.45
2018-09-30,65.72,$6.78,9.69
2018-06-30,56.82,$6.38,8.91
2018-03-31,62.63,$6.36,9.85
2017-12-31,62.78,$6.24,10.06
2017-09-30,63.27,$6.08,10.41
2017-06-30,59.47,$6.29,9.45
2017-03-31,58.92,$5.85,10.08
2016-12-31,61.34,$6.62,9.27
2016-09-30,60.7,$6.86,8.84
2016-06-30,59.88,$6.58,9.11
2016-03-31,51.91,$6.72,7.73
2015-12-31,46.65,$6.43,7.25
2015-09-30,41.77,$5.95,7.02
2015-06-30,38.63,$5.95,6.49
2015-03-31,40.64,$5.76,7.05
2014-12-31,39.2,$5.23,7.49
2014-09-30,35.27,$5.35,6.59
2014-06-30,35.69,$5.37,6.65
2014-03-31,35.82,$5.19,6.9
2013-12-31,38.2,$4.77,8.01
2013-09-30,34.11,$4.47,7.64
2013-06-30,32.92,$3.76,8.75
2013-03-31,33.56,$3.31,10.15
2012-12-31,27.59,$3.86,7.15
2012-09-30,26.41,$3.25,8.13
2012-06-30,26.28,$3.07,8.57
2012-03-31,23.56,$2.03,11.62
2011-12-31,20.56,$1.47,13.99
2011-09-30,17.53,$1.51,11.59
2011-06-30,19.14,$1.67,11.49
2011-03-31,21.21,$2.86,7.42
2010-12-31,20.26,$3.15,6.43
2010-09-30,18.19,$3.40,5.34
2010-06-30,16.11,$3.60,4.47
2010-03-31,17.75,$3.39,5.23
2009-12-31,15.89,$2.97,5.36
