Clean Energy Fuels Price to Free Cash Flow Ratio Historical Data,Clean Energy Fuels Price to Free Cash Flow Ratio Historical Data,Clean Energy Fuels Price to Free Cash Flow Ratio Historical Data,Clean Energy Fuels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.75,,0.0
2024-12-31,2.51,$-0.07,0.0
2024-09-30,3.11,$-0.05,0.0
2024-06-30,2.67,$-0.12,0.0
2024-03-31,2.68,$-0.21,0.0
2023-12-31,3.83,$-0.35,0.0
2023-09-30,3.83,$-0.31,0.0
2023-06-30,4.96,$-0.27,0.0
2023-03-31,4.36,$-0.12,0.0
2022-12-31,5.2,$0.06,85.11
2022-09-30,5.34,$-0.00,0.0
2022-06-30,4.48,$0.08,52.77
2022-03-31,7.94,$0.04,194.13
2021-12-31,6.13,$0.07,85.14
2021-09-30,8.15,$0.09,92.4
2021-06-30,10.15,$0.06,166.94
2021-03-31,13.74,$0.30,46.4
2020-12-31,7.86,$0.26,30.08
2020-09-30,2.48,$0.21,11.74
2020-06-30,2.22,$0.16,13.69
2020-03-31,1.78,$-0.03,0.0
2019-12-31,2.34,$-0.03,0.0
2019-09-30,2.07,$-0.01,0.0
2019-06-30,2.67,$0.03,92.71
2019-03-31,3.09,$0.09,32.91
2018-12-31,1.72,$0.07,23.47
2018-09-30,2.6,$0.01,254.9
2018-06-30,3.69,$-0.06,0.0
2018-03-31,1.65,$-0.29,0.0
2017-12-31,2.03,$-0.27,0.0
2017-09-30,2.48,$-0.23,0.0
2017-06-30,2.54,$-0.08,0.0
2017-03-31,2.55,$-0.07,0.0
2016-12-31,2.86,$0.19,15.08
2016-09-30,4.47,$-0.03,0.0
2016-06-30,3.47,$-0.23,0.0
2016-03-31,2.93,$-0.57,0.0
2015-12-31,3.6,$-0.69,0.0
2015-09-30,4.5,$-0.81,0.0
2015-06-30,5.62,$-0.97,0.0
2015-03-31,5.34,$-1.02,0.0
2014-12-31,5.0,$-1.76,0.0
2014-09-30,7.8,$-1.71,0.0
2014-06-30,11.72,$-1.58,0.0
2014-03-31,8.94,$-1.21,0.0
2013-12-31,12.88,$-0.97,0.0
2013-09-30,12.77,$-1.35,0.0
2013-06-30,13.2,$-1.85,0.0
2013-03-31,13.0,$-2.21,0.0
2012-12-31,12.45,$-2.43,0.0
2012-09-30,13.17,$-2.42,0.0
2012-06-30,15.5,$-2.17,0.0
2012-03-31,21.28,$-1.94,0.0
2011-12-31,12.46,$-1.33,0.0
2011-09-30,11.12,$-1.01,0.0
2011-06-30,13.15,$-0.77,0.0
2011-03-31,16.38,$-0.67,0.0
2010-12-31,13.84,$-0.82,0.0
2010-09-30,14.21,$-0.52,0.0
2010-06-30,14.94,$-0.36,0.0
2010-03-31,22.78,$-0.32,0.0
2009-12-31,15.41,$-0.31,0.0
