Chimerix Price to Free Cash Flow Ratio Historical Data,Chimerix Price to Free Cash Flow Ratio Historical Data,Chimerix Price to Free Cash Flow Ratio Historical Data,Chimerix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.47,,0.0
2024-09-30,0.93,$-0.79,0.0
2024-06-30,0.88,$-0.76,0.0
2024-03-31,1.06,$-0.72,0.0
2023-12-31,0.96,$-0.78,0.0
2023-09-30,0.96,$-0.87,0.0
2023-06-30,1.21,$2.08,0.58
2023-03-31,1.26,$2.12,0.59
2022-12-31,1.86,$2.11,0.88
2022-09-30,1.93,$1.94,0.99
2022-06-30,2.08,$-0.98,0.0
2022-03-31,4.58,$-0.97,0.0
2021-12-31,6.43,$-1.18,0.0
2021-09-30,6.19,$-0.91,0.0
2021-06-30,8.0,$-0.87,0.0
2021-03-31,9.64,$-0.88,0.0
2020-12-31,4.83,$-0.58,0.0
2020-09-30,2.49,$-0.56,0.0
2020-06-30,3.1,$-1.08,0.0
2020-03-31,1.44,$-1.22,0.0
2019-12-31,2.03,$-1.36,0.0
2019-09-30,2.35,$-1.39,0.0
2019-06-30,4.32,$-1.01,0.0
2019-03-31,2.1,$-1.03,0.0
2018-12-31,2.57,$-1.11,0.0
2018-09-30,3.89,$-1.21,0.0
2018-06-30,4.76,$-1.18,0.0
2018-03-31,5.2,$-1.17,0.0
2017-12-31,4.63,$-1.07,0.0
2017-09-30,5.25,$-1.02,0.0
2017-06-30,5.45,$-1.06,0.0
2017-03-31,6.38,$-1.07,0.0
2016-12-31,4.6,$-1.40,0.0
2016-09-30,5.54,$-2.03,0.0
2016-06-30,3.93,$-2.21,0.0
2016-03-31,5.11,$-2.49,0.0
2015-12-31,8.95,$-2.33,0.0
2015-09-30,38.2,$-2.08,0.0
2015-06-30,46.2,$-1.84,0.0
2015-03-31,37.69,$-1.57,0.0
2014-12-31,40.26,$-1.46,0.0
2014-09-30,27.62,$-1.47,0.0
2014-06-30,21.94,$-1.37,0.0
2014-03-31,22.84,$-1.68,0.0
