Carter's Price to Free Cash Flow Ratio Historical Data,Carter's Price to Free Cash Flow Ratio Historical Data,Carter's Price to Free Cash Flow Ratio Historical Data,Carter's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.84,,5.98
2024-12-31,54.19,$6.83,7.93
2024-09-30,64.05,$7.54,8.49
2024-06-30,60.39,$9.75,6.2
2024-03-31,81.53,$11.01,7.4
2023-12-31,71.42,$12.82,5.57
2023-09-30,65.21,$12.11,5.39
2023-06-30,67.74,$8.99,7.53
2023-03-31,66.31,$6.25,10.61
2022-12-31,68.09,$1.24,55.12
2022-09-30,59.19,$-0.53,0.0
2022-06-30,63.02,$1.91,32.98
2022-03-31,81.47,$2.29,35.5
2021-12-31,88.91,$5.37,16.56
2021-09-30,84.91,$5.54,15.33
2021-06-30,89.75,$8.37,10.72
2021-03-31,77.06,$12.14,6.35
2020-12-31,81.51,$12.80,6.37
2020-09-30,75.02,$13.45,5.58
2020-06-30,69.93,$10.62,6.59
2020-03-31,56.96,$6.18,9.22
2019-12-31,94.1,$7.30,12.88
2019-09-30,78.11,$7.47,10.46
2019-06-30,83.07,$6.53,12.72
2019-03-31,85.36,$5.84,14.62
2018-12-31,68.75,$6.28,10.95
2018-09-30,82.66,$3.47,23.85
2018-06-30,90.48,$5.42,16.69
2018-03-31,86.55,$5.10,16.97
2017-12-31,97.3,$5.40,18.01
2017-09-30,81.49,$6.04,13.49
2017-06-30,73.09,$6.37,11.47
2017-03-31,73.46,$4.94,14.87
2016-12-31,70.38,$5.58,12.62
2016-09-30,70.39,$3.50,20.12
2016-06-30,86.14,$5.06,17.02
2016-03-31,84.97,$4.63,18.34
2015-12-31,71.55,$3.91,18.31
2015-09-30,72.66,$5.84,12.43
2015-06-30,85.03,$3.50,24.3
2015-03-31,73.8,$4.71,15.68
2014-12-31,69.51,$3.41,20.37
2014-09-30,61.58,$0.52,119.43
2014-06-30,54.63,$-0.04,0.0
2014-03-31,61.38,$0.08,783.91
2013-12-31,56.61,$0.47,119.83
2013-09-30,59.71,$0.98,60.93
2013-06-30,58.14,$2.41,24.17
2013-03-31,44.85,$2.55,17.6
2012-12-31,43.59,$3.31,13.19
2012-09-30,42.17,$3.76,11.23
2012-06-30,41.2,$3.26,12.63
2012-03-31,38.98,$1.69,23.05
2011-12-31,31.18,$0.61,51.0
2011-09-30,23.92,$-0.78,0.0
2011-06-30,24.09,$-0.89,0.0
2011-03-31,22.42,$0.57,39.55
2010-12-31,23.11,$0.79,29.44
2010-09-30,20.62,$1.67,12.33
2010-06-30,20.56,$2.45,8.38
2010-03-31,23.61,$2.57,9.19
2009-12-31,20.56,$2.73,7.53
