CervoMed Price to Free Cash Flow Ratio Historical Data,CervoMed Price to Free Cash Flow Ratio Historical Data,CervoMed Price to Free Cash Flow Ratio Historical Data,CervoMed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.56,,0.0
2024-09-30,14.6,$-2.47,0.0
2024-06-30,17.12,$3.43,4.99
2024-03-31,23.3,$-0.17,0.0
2023-12-31,7.63,$-2.80,0.0
2023-09-30,4.62,$-2.64,0.0
2023-06-30,5.01,$-5.19,0.0
2023-03-31,6.23,$-4.35,0.0
2022-12-31,7.59,$-4.97,0.0
2022-09-30,8.03,$-6.35,0.0
2022-06-30,10.02,$-11.34,0.0
2022-03-31,18.75,$-9.94,0.0
2021-12-31,22.88,$-11.17,0.0
2021-09-30,38.23,$-15.43,0.0
2021-06-30,54.75,$-15.55,0.0
2021-03-31,68.82,$-15.97,0.0
2020-12-31,59.63,$-18.88,0.0
2020-09-30,63.15,$-3.56,0.0
2020-06-30,73.13,$-19.59,0.0
2020-03-31,23.75,$-58.82,0.0
2019-12-31,34.55,$-110.23,0.0
2019-09-30,138.75,$-195.47,0.0
2019-06-30,213.75,$-219.72,0.0
2019-03-31,278.25,$-220.58,0.0
2018-12-31,149.25,$-249.20,0.0
2018-09-30,485.66,$-501.14,0.0
2018-06-30,514.24,$-755.39,0.0
2018-03-31,614.25,$-845.72,0.0
2017-12-31,1327.5,"$-1,130.27",0.0
2017-09-30,1867.5,"$-1,984.90",0.0
