HF Sinclair Price to Free Cash Flow Ratio Historical Data,HF Sinclair Price to Free Cash Flow Ratio Historical Data,HF Sinclair Price to Free Cash Flow Ratio Historical Data,HF Sinclair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.89,,10.11
2024-12-31,35.05,$3.35,10.45
2024-09-30,44.05,$5.36,8.21
2024-06-30,52.16,$9.54,5.47
2024-03-31,58.52,$10.90,5.37
2023-12-31,53.41,$10.15,5.26
2023-09-30,54.27,$14.37,3.78
2023-06-30,42.19,$11.10,3.8
2023-03-31,45.25,$14.74,3.07
2022-12-31,48.12,$16.07,2.99
2022-09-30,49.62,$7.85,6.32
2022-06-30,41.3,$4.65,8.88
2022-03-31,36.13,$0.44,82.89
2021-12-31,29.72,$-1.85,0.0
2021-09-30,30.04,$1.52,19.72
2021-06-30,29.83,$0.70,42.47
2021-03-31,32.44,$-0.40,0.0
2020-12-31,23.22,$0.80,29.09
2020-09-30,17.43,$1.23,14.15
2020-06-30,25.48,$3.63,7.02
2020-03-31,21.15,$7.27,2.91
2019-12-31,43.4,$7.50,5.79
2019-09-30,45.6,$9.22,4.94
2019-06-30,39.06,$8.78,4.45
2019-03-31,41.27,$6.46,6.39
2018-12-31,42.55,$7.06,6.03
2018-09-30,57.87,$5.69,10.17
2018-06-30,56.39,$5.19,10.86
2018-03-31,40.08,$5.89,6.81
2017-12-31,41.71,$3.84,10.86
2017-09-30,29.07,$3.76,7.73
2017-06-30,21.94,$2.52,8.71
2017-03-31,22.35,$0.97,23.01
2016-12-31,25.55,$0.73,35.15
2016-09-30,18.89,$-0.31,0.0
2016-06-30,18.11,$0.52,34.61
2016-03-31,26.58,$0.55,48.39
2015-12-31,29.73,$1.74,17.07
2015-09-30,36.15,$1.16,31.25
2015-06-30,31.38,$-0.00,0.0
2015-03-31,29.36,$0.09,326.55
2014-12-31,27.11,$1.07,25.43
2014-09-30,30.99,$1.92,16.18
2014-06-30,30.5,$3.23,9.45
2014-03-31,32.66,$2.73,11.98
2013-12-31,33.53,$2.25,14.93
2013-09-30,27.93,$4.34,6.43
2013-06-30,27.89,$6.43,4.34
2013-03-31,32.98,$6.43,5.13
2012-12-31,29.41,$6.47,4.55
2012-09-30,25.65,$6.94,3.7
2012-06-30,21.4,$4.72,4.53
2012-03-31,19.01,$6.47,2.94
2011-12-31,13.59,$6.07,2.24
2011-09-30,14.82,$3.51,4.22
2011-06-30,19.29,$3.82,5.05
2011-03-31,16.85,$2.32,7.26
2010-12-31,11.27,$0.65,17.26
2010-09-30,7.92,$0.77,10.3
2010-06-30,7.28,$-0.84,0.0
2010-03-31,7.6,$-1.03,0.0
2009-12-31,6.94,$-0.90,0.0
