DLH Holdings Price to Free Cash Flow Ratio Historical Data,DLH Holdings Price to Free Cash Flow Ratio Historical Data,DLH Holdings Price to Free Cash Flow Ratio Historical Data,DLH Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.73,,6.95
2024-12-31,8.03,$0.68,11.8
2024-09-30,9.36,$1.84,5.08
2024-06-30,10.56,$2.09,5.06
2024-03-31,13.27,$2.33,5.7
2023-12-31,15.75,$1.91,8.26
2023-09-30,11.67,$2.11,5.54
2023-06-30,10.25,$1.37,7.49
2023-03-31,11.47,$1.50,7.66
2022-12-31,11.87,$1.69,7.03
2022-09-30,12.27,$0.03,468.32
2022-06-30,15.24,$1.88,8.12
2022-03-31,18.94,$1.87,10.12
2021-12-31,20.72,$2.86,7.25
2021-09-30,12.3,$3.35,3.67
2021-06-30,11.68,$1.80,6.5
2021-03-31,9.92,$1.88,5.28
2020-12-31,9.32,$1.07,8.72
2020-09-30,7.25,$1.47,4.92
2020-06-30,7.34,$1.30,5.65
2020-03-31,4.21,$0.87,4.81
2019-12-31,4.19,$1.25,3.34
2019-09-30,4.46,$1.35,3.3
2019-06-30,5.08,$1.32,3.86
2019-03-31,6.4,$1.30,4.94
2018-12-31,4.65,$0.97,4.78
2018-09-30,5.76,$1.04,5.52
2018-06-30,5.48,$0.68,8.04
2018-03-31,5.84,$0.56,10.35
2017-12-31,6.16,$0.36,17.26
2017-09-30,6.48,$0.44,14.66
2017-06-30,5.39,$0.57,9.42
2017-03-31,5.4,$0.50,10.74
2016-12-31,5.94,$0.47,12.75
2016-09-30,4.69,$0.49,9.5
2016-06-30,5.05,$0.34,14.87
2016-03-31,3.84,$0.27,14.45
2015-12-31,4.2,$0.25,17.07
2015-09-30,2.84,$0.18,15.48
2015-06-30,2.61,$0.11,23.3
2015-03-31,1.95,$0.19,10.06
2014-12-31,2.01,$0.23,8.84
2014-09-30,1.94,$0.17,11.55
2014-06-30,1.89,$0.31,6.05
2014-03-31,2.55,$0.21,11.91
2013-12-31,1.53,$0.04,37.32
2013-09-30,1.28,$0.19,6.64
2013-06-30,0.8,$-0.02,0.0
2013-03-31,0.84,$-0.25,0.0
2012-12-31,0.71,$-0.11,0.0
2012-09-30,1.06,$-0.41,0.0
2012-06-30,1.3,$-0.13,0.0
2012-03-31,1.97,$-0.13,0.0
2011-12-31,1.89,$-0.02,0.0
2011-09-30,1.63,$-0.19,0.0
2011-06-30,0.99,$-0.57,0.0
2011-03-31,0.49,$-0.50,0.0
2010-12-31,0.51,$-0.59,0.0
2010-09-30,0.52,$-0.48,0.0
2010-06-30,0.5,$-0.48,0.0
2010-03-31,0.99,$-0.22,0.0
2009-12-31,0.8,$-0.71,0.0
