Elutia Price to Free Cash Flow Ratio Historical Data,Elutia Price to Free Cash Flow Ratio Historical Data,Elutia Price to Free Cash Flow Ratio Historical Data,Elutia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.24,,0.0
2024-12-31,3.74,$-0.80,0.0
2024-09-30,3.81,$-0.76,0.0
2024-06-30,4.96,$-1.02,0.0
2024-03-31,3.15,$-1.00,0.0
2023-12-31,2.16,$-1.22,0.0
2023-09-30,1.43,$-1.14,0.0
2023-06-30,2.36,$-1.27,0.0
2023-03-31,1.51,$-1.38,0.0
2022-12-31,4.25,$-1.59,0.0
2022-09-30,7.2,$-1.81,0.0
2022-06-30,7.07,$-1.71,0.0
2022-03-31,5.95,$-1.54,0.0
2021-12-31,6.3,$-1.51,0.0
2021-09-30,6.96,$-2.44,0.0
