Eversource Energy Price to Free Cash Flow Ratio Historical Data,Eversource Energy Price to Free Cash Flow Ratio Historical Data,Eversource Energy Price to Free Cash Flow Ratio Historical Data,Eversource Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,61.6,,0.0
2024-12-31,57.43,$-6.49,0.0
2024-09-30,68.05,$-7.03,0.0
2024-06-30,56.11,$-7.27,0.0
2024-03-31,58.44,$-7.54,0.0
2023-12-31,59.63,$-7.69,0.0
2023-09-30,55.57,$-6.68,0.0
2023-06-30,67.05,$-4.94,0.0
2023-03-31,73.32,$-4.46,0.0
2022-12-31,77.83,$-3.00,0.0
2022-09-30,71.83,$-3.42,0.0
2022-06-30,77.26,$-3.77,0.0
2022-03-31,80.09,$-3.85,0.0
2021-12-31,81.98,$-3.52,0.0
2021-09-30,73.19,$-3.95,0.0
2021-06-30,71.32,$-4.33,0.0
2021-03-31,76.41,$-3.60,0.0
2020-12-31,75.75,$-3.71,0.0
2020-09-30,72.67,$-2.61,0.0
2020-06-30,71.94,$-2.54,0.0
2020-03-31,67.08,$-2.93,0.0
2019-12-31,72.52,$-2.79,0.0
2019-09-30,72.4,$-2.77,0.0
2019-06-30,63.76,$-2.00,0.0
2019-03-31,59.28,$-1.75,0.0
2018-12-31,53.93,$-2.33,0.0
2018-09-30,50.56,$-2.08,0.0
2018-06-30,47.84,$-2.06,0.0
2018-03-31,47.67,$-2.21,0.0
2017-12-31,50.67,$-1.11,0.0
2017-09-30,48.12,$-0.71,0.0
2017-06-30,47.97,$-0.41,0.0
2017-03-31,46.09,$0.27,173.45
2016-12-31,42.95,$0.73,59.12
2016-09-30,41.79,$-0.54,0.0
2016-06-30,45.82,$-0.96,0.0
2016-03-31,44.27,$-1.10,0.0
2015-12-31,38.44,$-0.91,0.0
