Expensify Price to Free Cash Flow Ratio Historical Data,Expensify Price to Free Cash Flow Ratio Historical Data,Expensify Price to Free Cash Flow Ratio Historical Data,Expensify Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.3,,12.07
2024-12-31,3.35,$0.27,12.26
2024-09-30,1.96,$0.18,11.09
2024-06-30,1.49,$0.07,21.98
2024-03-31,1.84,$-0.05,0.0
2023-12-31,2.47,$0.00,0.0
2023-09-30,3.25,$0.09,34.72
2023-06-30,7.98,$0.15,54.07
2023-03-31,8.15,$0.36,22.95
2022-12-31,8.83,$0.40,22.09
2022-09-30,14.88,$0.39,38.02
