First Business Financial Services Price to Free Cash Flow Ratio Historical Data,First Business Financial Services Price to Free Cash Flow Ratio Historical Data,First Business Financial Services Price to Free Cash Flow Ratio Historical Data,First Business Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,48.56,,6.91
2024-12-31,46.29,$7.03,6.58
2024-09-30,45.35,$5.95,7.62
2024-06-30,36.58,$6.03,6.07
2024-03-31,36.82,$5.98,6.15
2023-12-31,39.08,$6.08,6.43
2023-09-30,29.04,$5.20,5.58
2023-06-30,28.35,$4.95,5.72
2023-03-31,29.08,$5.18,5.62
2022-12-31,34.62,$4.31,8.04
2022-09-30,30.44,$4.93,6.17
2022-06-30,29.22,$4.50,6.49
2022-03-31,30.56,$3.73,8.18
2021-12-31,27.01,$4.29,6.3
2021-09-30,26.43,$5.47,4.83
2021-06-30,24.76,$4.78,5.18
2021-03-31,22.47,$3.81,5.9
2020-12-31,16.59,$3.15,5.28
2020-09-30,12.76,$1.57,8.14
2020-06-30,14.52,$2.20,6.6
2020-03-31,13.55,$2.28,5.95
2019-12-31,22.86,$3.38,6.77
2019-09-30,20.78,$3.03,6.86
2019-06-30,20.15,$2.93,6.88
2019-03-31,17.17,$3.09,5.55
2018-12-31,16.61,$2.81,5.9
2018-09-30,19.6,$2.53,7.76
2018-06-30,21.85,$2.67,8.17
2018-03-31,21.03,$3.12,6.73
2017-12-31,18.39,$2.46,7.48
2017-09-30,18.8,$3.19,5.9
2017-06-30,18.95,$2.16,8.76
2017-03-31,21.21,$2.14,9.92
2016-12-31,19.27,$2.98,6.46
2016-09-30,18.98,$3.14,6.04
2016-06-30,18.85,$3.21,5.87
2016-03-31,18.33,$3.45,5.32
2015-12-31,19.88,$2.62,7.58
2015-09-30,18.61,$1.12,16.68
2015-06-30,18.46,$1.48,12.45
2015-03-31,16.94,$1.04,16.26
2014-12-31,18.68,$1.10,17.01
2014-09-30,17.04,$2.00,8.53
2014-06-30,18.16,$2.12,8.55
2014-03-31,18.14,$2.13,8.5
2013-12-31,14.39,$2.00,7.19
2013-09-30,12.43,$2.02,6.15
2013-06-30,11.37,$2.05,5.55
2013-03-31,10.15,$2.57,3.95
2012-12-31,8.62,$2.96,2.91
2012-09-30,9.02,$3.28,2.75
2012-06-30,8.47,$3.74,2.26
2012-03-31,7.07,$3.32,2.13
2011-12-31,6.12,$3.43,1.78
2011-09-30,5.88,$2.45,2.4
2011-06-30,5.42,$2.64,2.05
2011-03-31,4.28,$2.19,1.96
2010-12-31,4.88,$2.35,2.07
2010-09-30,3.35,$1.24,2.7
2010-06-30,3.48,$0.69,5.08
2010-03-31,3.46,$0.72,4.79
2009-12-31,3.4,$0.16,21.46
