First Bancshares Price to Free Cash Flow Ratio Historical Data,First Bancshares Price to Free Cash Flow Ratio Historical Data,First Bancshares Price to Free Cash Flow Ratio Historical Data,First Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.83,,13.33
2024-12-31,35.0,$2.61,13.4
2024-09-30,31.91,$2.94,10.84
2024-06-30,25.6,$3.31,7.74
2024-03-31,25.32,$3.53,7.17
2023-12-31,28.32,$3.37,8.42
2023-09-30,25.81,$3.14,8.23
2023-06-30,24.55,$2.52,9.75
2023-03-31,24.33,$2.48,9.81
2022-12-31,29.95,$3.39,8.83
2022-09-30,27.78,$3.62,7.67
2022-06-30,26.43,$3.52,7.5
2022-03-31,30.93,$3.73,8.29
2021-12-31,35.33,$4.19,8.44
2021-09-30,35.34,$4.17,8.48
2021-06-30,33.98,$3.86,8.79
2021-03-31,33.12,$3.15,10.5
2020-12-31,27.83,$2.31,12.02
2020-09-30,18.81,$2.08,9.02
2020-06-30,20.1,$2.53,7.94
2020-03-31,16.95,$2.42,7.0
2019-12-31,31.48,$2.15,14.67
2019-09-30,28.55,$2.12,13.45
2019-06-30,26.76,$2.14,12.5
2019-03-31,27.18,$2.81,9.67
2018-12-31,26.55,$2.10,12.67
2018-09-30,34.23,$1.98,17.25
2018-06-30,31.47,$1.97,16.01
2018-03-31,28.19,$1.33,21.14
2017-12-31,29.85,$1.77,16.86
2017-09-30,26.28,$1.85,14.23
2017-06-30,24.03,$1.13,21.18
2017-03-31,24.78,$0.67,36.86
2016-12-31,23.87,$0.85,28.15
2016-09-30,16.55,$0.24,68.71
2016-06-30,14.94,$1.03,14.56
2016-03-31,13.49,$1.19,11.3
2015-12-31,15.79,$1.34,11.83
2015-09-30,15.01,$1.05,14.31
2015-06-30,14.27,$0.95,15.04
2015-03-31,13.91,$0.88,15.87
2014-12-31,12.38,$1.17,10.62
2014-09-30,12.3,$2.41,5.1
2014-06-30,12.05,$2.48,4.86
2014-03-31,12.27,$2.98,4.12
2013-12-31,11.84,$3.94,3.0
2013-09-30,11.79,$4.08,2.89
2013-06-30,10.84,$3.72,2.91
2013-03-31,9.76,$3.34,2.92
2012-12-31,7.86,$3.13,2.51
2012-09-30,7.9,$2.86,2.76
2012-06-30,7.63,$3.02,2.52
2012-03-31,7.63,$2.91,2.63
2011-12-31,6.26,$1.87,3.34
2011-09-30,7.01,$3.54,1.98
2011-06-30,8.08,$3.31,2.44
2011-03-31,6.97,$2.75,2.54
2010-12-31,6.86,$2.87,2.39
2010-09-30,8.05,$0.26,31.22
2010-06-30,5.9,$0.64,9.17
2010-03-31,7.56,$2.14,3.53
2009-12-31,5.57,$1.90,2.94
