4D Molecular Therapeutics Price to Free Cash Flow Ratio Historical Data,4D Molecular Therapeutics Price to Free Cash Flow Ratio Historical Data,4D Molecular Therapeutics Price to Free Cash Flow Ratio Historical Data,4D Molecular Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.75,,0.0
2024-12-31,5.57,$-2.57,0.0
2024-09-30,10.81,$-2.39,0.0
2024-06-30,20.99,$-1.75,0.0
2024-03-31,31.86,$-1.73,0.0
2023-12-31,20.26,$-2.01,0.0
2023-09-30,12.73,$-1.99,0.0
2023-06-30,18.07,$-2.78,0.0
2023-03-31,17.19,$-2.99,0.0
2022-12-31,22.21,$-3.04,0.0
2022-09-30,8.04,$-3.24,0.0
2022-06-30,6.98,$-3.20,0.0
2022-03-31,15.12,$-3.15,0.0
2021-12-31,21.94,$-2.82,0.0
2021-09-30,26.97,$-9.97,0.0
