Femasys Price to Free Cash Flow Ratio Historical Data,Femasys Price to Free Cash Flow Ratio Historical Data,Femasys Price to Free Cash Flow Ratio Historical Data,Femasys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.6,,0.0
2024-09-30,1.11,$-0.87,0.0
2024-06-30,1.14,$-0.74,0.0
2024-03-31,1.55,$-0.73,0.0
2023-12-31,0.98,$-0.74,0.0
2023-09-30,2.98,$-0.80,0.0
2023-06-30,0.51,$-0.90,0.0
2023-03-31,1.09,$-0.92,0.0
2022-12-31,0.9,$-0.94,0.0
2022-09-30,1.13,$-1.42,0.0
2022-06-30,2.41,$0.19,12.83
2022-03-31,2.26,$-1.47,0.0
