GATX Price to Free Cash Flow Ratio Historical Data,GATX Price to Free Cash Flow Ratio Historical Data,GATX Price to Free Cash Flow Ratio Historical Data,GATX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,155.95,,0.0
2024-12-31,154.96,$-29.18,0.0
2024-09-30,131.98,$-33.98,0.0
2024-06-30,131.34,$-30.55,0.0
2024-03-31,132.4,$-31.11,0.0
2023-12-31,118.22,$-31.50,0.0
2023-09-30,106.53,$-27.65,0.0
2023-06-30,125.42,$-24.02,0.0
2023-03-31,106.71,$-20.09,0.0
2022-12-31,102.63,$-19.25,0.0
2022-09-30,81.79,$-18.14,0.0
2022-06-30,89.96,$-16.85,0.0
2022-03-31,117.21,$-12.84,0.0
2021-12-31,98.53,$-17.30,0.0
2021-09-30,84.28,$-17.04,0.0
2021-06-30,82.77,$-19.46,0.0
2021-03-31,86.31,$-20.23,0.0
2020-12-31,77.02,$-11.98,0.0
2020-09-30,58.69,$-10.98,0.0
2020-06-30,55.72,$-10.01,0.0
2020-03-31,56.72,$-13.31,0.0
2019-12-31,74.61,$-8.19,0.0
2019-09-30,69.44,$-26.35,0.0
2019-06-30,70.62,$-19.90,0.0
2019-03-31,67.6,$-10.64,0.0
2018-12-31,62.31,$-11.38,0.0
2018-09-30,75.75,$9.09,8.33
2018-06-30,64.59,$-3.36,0.0
2018-03-31,59.24,$2.60,22.79
2017-12-31,53.42,$-2.31,0.0
2017-09-30,52.53,$-1.74,0.0
2017-06-30,54.45,$10.41,5.23
2017-03-31,51.32,$-0.28,0.0
2016-12-31,51.47,$-0.02,0.0
2016-09-30,37.0,$0.12,313.52
2016-06-30,36.16,$-4.39,0.0
2016-03-31,38.72,$-4.54,0.0
2015-12-31,34.35,$-5.89,0.0
2015-09-30,35.32,$-7.36,0.0
2015-06-30,42.18,$-7.85,0.0
2015-03-31,45.71,$-9.02,0.0
2014-12-31,45.09,$-15.64,0.0
2014-09-30,45.46,$-14.35,0.0
2014-06-30,51.87,$-15.27,0.0
2014-03-31,52.33,$-15.61,0.0
2013-12-31,40.01,$-6.67,0.0
2013-09-30,36.21,$-8.93,0.0
2013-06-30,35.91,$-5.30,0.0
2013-03-31,39.1,$-5.68,0.0
2012-12-31,32.38,$-5.58,0.0
2012-09-30,31.51,$-4.70,0.0
2012-06-30,28.39,$-7.26,0.0
2012-03-31,29.48,$-5.75,0.0
2011-12-31,31.72,$-4.66,0.0
2011-09-30,22.36,$-8.75,0.0
2011-06-30,26.56,$-6.53,0.0
2011-03-31,27.44,$-4.40,0.0
2010-12-31,24.83,$-4.33,0.0
2010-09-30,20.48,$1.29,15.92
2010-06-30,18.46,$-0.47,0.0
2010-03-31,19.63,$-2.37,0.0
2009-12-31,19.5,$-1.98,0.0
