Golub Capital BDC Price to Free Cash Flow Ratio Historical Data,Golub Capital BDC Price to Free Cash Flow Ratio Historical Data,Golub Capital BDC Price to Free Cash Flow Ratio Historical Data,Golub Capital BDC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.09,,0.0
2024-12-31,15.16,$-0.67,0.0
2024-09-30,14.65,$1.71,8.57
2024-06-30,14.74,$3.10,4.76
2024-03-31,15.15,$2.50,6.07
2023-12-31,13.36,$1.80,7.41
2023-09-30,12.6,$1.15,10.98
2023-06-30,11.27,$1.70,6.63
2023-03-31,11.04,$0.32,34.42
2022-12-31,10.46,$-1.06,0.0
2022-09-30,9.61,$-2.44,0.0
2022-06-30,9.83,$-5.67,0.0
2022-03-31,11.29,$-4.33,0.0
2021-12-31,11.25,$-1.90,0.0
2021-09-30,11.29,$-1.82,0.0
2021-06-30,10.81,$1.18,9.15
2021-03-31,10.06,$1.63,6.17
2020-12-31,9.54,$1.09,8.75
2020-09-30,8.75,$1.26,6.94
2020-06-30,7.53,$0.03,218.94
2020-03-31,7.94,$0.26,31.04
2019-12-31,11.44,$-0.70,0.0
2019-09-30,11.39,$-1.81,0.0
2019-06-30,10.58,$-0.77,0.0
2019-03-31,10.43,$-1.85,0.0
2018-12-31,9.45,$-1.87,0.0
2018-09-30,10.49,$-0.14,0.0
2018-06-30,10.07,$1.67,6.03
2018-03-31,9.67,$1.18,8.2
2017-12-31,9.67,$1.15,8.41
2017-09-30,9.79,$1.09,8.96
2017-06-30,9.78,$-1.55,0.0
2017-03-31,10.01,$-0.65,0.0
2016-12-31,9.1,$-1.78,0.0
2016-09-30,8.92,$-1.08,0.0
2016-06-30,8.53,$0.52,16.35
2016-03-31,8.03,$-2.04,0.0
2015-12-31,7.57,$-0.79,0.0
2015-09-30,7.13,$-2.11,0.0
2015-06-30,7.26,$-3.61,0.0
2015-03-31,7.55,$-2.08,0.0
2014-12-31,7.57,$-3.30,0.0
2014-09-30,6.61,$-5.64,0.0
2014-06-30,7.2,$-9.52,0.0
2014-03-31,7.12,$-8.96,0.0
2013-12-31,7.5,$-10.13,0.0
2013-06-30,6.62,$-8.31,0.0
2013-03-31,6.14,$-3.86,0.0
2012-12-31,5.83,$-4.67,0.0
2012-09-30,5.68,$-6.52,0.0
2012-06-30,5.28,$-6.09,0.0
2012-03-31,5.23,$-9.15,0.0
2011-12-31,5.2,$-8.32,0.0
2011-09-30,4.88,$-6.02,0.0
2011-06-30,4.8,$-12.44,0.0
2011-03-31,4.97,$-2.35,0.0
